arm,init_id,channel,coordinate_mean,coordinate_std,coordinate_min,coordinate_max
mcq,noise-seed-00,0,-0.6862094043285456,0.32092757044638814,-1.6340855360031128,0.43701282143592834
mcq,noise-seed-01,0,-0.6867842295754052,0.31248831134687327,-1.6296859979629517,0.5508121848106384
mcq,noise-seed-02,0,-0.692473805463802,0.320212265684195,-1.6947407722473145,0.44053295254707336
mcq,noise-seed-03,0,-0.689209619123579,0.31648527120260533,-1.7568937540054321,0.6280126571655273
mcq,noise-seed-04,0,-0.6889446099661871,0.31252973451338567,-1.688793659210205,0.3891645073890686
mcq,noise-seed-05,0,-0.6930887783079527,0.3204514775193782,-1.7385046482086182,0.642281711101532
mcq,noise-seed-06,0,-0.6848672068876986,0.30862612488226987,-1.5733157396316528,0.3452461361885071
mcq,noise-seed-07,0,-0.6894003333946994,0.3340040654130965,-1.717948317527771,0.6320717930793762
open,noise-seed-00,0,-0.6862020208487039,0.31613337250722795,-1.731877088546753,0.5186102986335754
open,noise-seed-01,0,-0.6911578030912082,0.3088536630115293,-1.6152236461639404,0.44393080472946167
open,noise-seed-02,0,-0.6924585774192398,0.3184271226427247,-1.6852012872695923,0.597930371761322
open,noise-seed-03,0,-0.6873912904523967,0.32224724932177384,-1.7980639934539795,0.6761270761489868
open,noise-seed-04,0,-0.6911901149272506,0.30685820773524936,-1.5509002208709717,0.47234418988227844
open,noise-seed-05,0,-0.6887622255665995,0.3178790682318609,-1.7263871431350708,0.8158020377159119
open,noise-seed-06,0,-0.6863656941187308,0.32535446469239676,-1.850184440612793,0.4592336416244507
open,noise-seed-07,0,-0.684628200847982,0.31909737693304824,-1.7058539390563965,0.5401567816734314
mcq,noise-seed-00,1,0.5226149509413124,0.3249984097220471,-0.6169316172599792,1.5741257667541504
mcq,noise-seed-01,1,0.51505372138684,0.31940852855792184,-0.6242018938064575,1.5765434503555298
mcq,noise-seed-02,1,0.5159533709168169,0.32241628126944777,-0.6537808179855347,1.627800464630127
mcq,noise-seed-03,1,0.520320001189053,0.31695744617961297,-0.5476069450378418,1.6513490676879883
mcq,noise-seed-04,1,0.5180378709412126,0.31713847094192527,-0.6701158285140991,1.554758906364441
mcq,noise-seed-05,1,0.5204174731486084,0.32356543061841914,-0.67183518409729,1.7013683319091797
mcq,noise-seed-06,1,0.5244357753046431,0.3130937569283546,-0.50705486536026,1.443275809288025
