arm,split,targets,target_pass_count,m0_normal_mean_ce,endpoint_normal_mean_ce,endpoint_donor_mean_ce,m0_normal_accuracy,endpoint_normal_accuracy,endpoint_donor_accuracy,normal_relative_ce_change_vs_m0,normal_relative_ce_change_vs_donor
conditioned,train_audit,36,0,23.94902253482077,1.1405382874525256,1.1406853661562006,0.0,0.5069444444444444,0.5,-0.9523764159562572,-0.0001289388888809917
conditioned,dev_select,24,0,25.00755041340987,1.3585612929115694,1.3488892524813612,0.0,0.3125,0.2708333333333333,-0.9456739556472886,0.007170374003956148
conditioned,dev_final,24,0,24.358342245221138,1.3683375328158338,1.3733046709870298,0.0,0.2916666666666667,0.28125,-0.9438246856440204,-0.003616923670423433
constant-control,train_audit,36,0,23.94902253482077,1.3764307124333248,1.3764307124333248,0.0,0.3472222222222222,0.3472222222222222,-0.942526643397155,0.0
constant-control,dev_select,24,0,25.00755041340987,1.4313063483374815,1.4313063483374815,0.0,0.2604166666666667,0.2604166666666667,-0.9427650319733049,0.0
constant-control,dev_final,24,0,24.358342245221138,1.421969138396283,1.421969138396283,0.0,0.2708333333333333,0.2708333333333333,-0.9416229099632074,0.0
