arm,step,split,segment_id,coefficient_norm,coefficient_max_abs,latent_delta_rms,image_saturation_fraction,basis_norm_min,basis_norm_max
conditioned,0,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,0,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,0,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,0,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,0,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,0,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,0,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,0,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
conditioned,288,train_audit,r5-f1-ee59008270e04ddeb87f5940,1.386528331930783,0.42527395486831665,1.862911581993103,0.33796151479085285,2.166492494156119,2.926068355776342
conditioned,288,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,1.3513656780866803,0.4175768494606018,1.8130093812942505,0.3235956827799479,2.166492494156119,2.926068355776342
conditioned,288,train_audit,r5-f1-ecf4946e7096b0f851fa9165,1.2857743297166855,0.40477386116981506,1.7224206924438477,0.2959629694620768,2.166492494156119,2.926068355776342
conditioned,288,train_audit,r5-f1-c4577184ceeecd7502540cd3,1.3853746101132856,0.42476704716682434,1.8604390621185303,0.33712196350097656,2.166492494156119,2.926068355776342
conditioned,288,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,1.3151793715293594,0.41177770495414734,1.763333797454834,0.30866686503092444,2.166492494156119,2.926068355776342
conditioned,288,dev_select,r5-f1-b7cedb01e540ac07603e9798,1.2837982621108601,0.4037212133407593,1.720462679862976,0.29533163706461585,2.166492494156119,2.926068355776342
conditioned,288,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,1.3316382443306995,0.41478675603866577,1.785723328590393,0.315521240234375,2.166492494156119,2.926068355776342
conditioned,288,dev_select,r5-f1-faf86750587c2c0a7b934b3a,1.3419802209183826,0.41374707221984863,1.8027654886245728,0.3206319808959961,2.166492494156119,2.926068355776342
conditioned,576,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.9829872512163242,0.30074357986450195,1.2864755392074585,0.13771851857503253,2.45618040823559,4.279768098257211
conditioned,576,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,1.0768738260393627,0.33286288380622864,1.409214735031128,0.17901229858398438,2.45618040823559,4.279768098257211
conditioned,576,train_audit,r5-f1-ecf4946e7096b0f851fa9165,1.2076340880401184,0.3801194727420807,1.5813862085342407,0.23529720306396484,2.45618040823559,4.279768098257211
conditioned,576,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.9608973718898492,0.29304155707359314,1.2565006017684937,0.12787246704101562,2.45618040823559,4.279768098257211
conditioned,576,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,1.1203886462621386,0.35164114832878113,1.4676953554153442,0.1986411412556966,2.45618040823559,4.279768098257211
conditioned,576,dev_select,r5-f1-b7cedb01e540ac07603e9798,1.0856014771171363,0.33850497007369995,1.4218803644180298,0.18335723876953125,2.45618040823559,4.279768098257211
conditioned,576,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,1.035976890603162,0.32120442390441895,1.356184482574463,0.16115919748942056,2.45618040823559,4.279768098257211
conditioned,576,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.8759894281620703,0.2643491327762604,1.145182490348816,0.09212875366210938,2.45618040823559,4.279768098257211
conditioned,864,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.8782980379576661,0.30374351143836975,1.155918836593628,0.10254096984863281,2.465434560410269,4.444390460368225
conditioned,864,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.9760065071221159,0.33699536323547363,1.2862073183059692,0.14619731903076172,2.465434560410269,4.444390460368225
conditioned,864,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.9733882402385114,0.33317819237709045,1.28669273853302,0.14640363057454425,2.465434560410269,4.444390460368225
conditioned,864,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.8700784713009564,0.3010711967945099,1.1446127891540527,0.09895133972167969,2.465434560410269,4.444390460368225
conditioned,864,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.9246956948341641,0.31589457392692566,1.2228832244873047,0.12485885620117188,2.465434560410269,4.444390460368225
conditioned,864,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.914970040148671,0.3127559423446655,1.2097374200820923,0.1205145517985026,2.465434560410269,4.444390460368225
conditioned,864,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.8680958598213132,0.29669657349586487,1.1471023559570312,0.09993680318196614,2.465434560410269,4.444390460368225
conditioned,864,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.818750581205939,0.28296688199043274,1.0773059129714966,0.07781283060709634,2.465434560410269,4.444390460368225
conditioned,1152,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.8197132807655491,0.27395129203796387,1.1163861751556396,0.09159374237060547,2.472966702521437,4.524099190464777
conditioned,1152,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.8852873966478516,0.2973974049091339,1.2039754390716553,0.11920579274495442,2.472966702521437,4.524099190464777
conditioned,1152,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.8529631791035698,0.2861363887786865,1.1608154773712158,0.1055288314819336,2.472966702521437,4.524099190464777
conditioned,1152,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.8215526766994007,0.27475303411483765,1.1185977458953857,0.09219646453857422,2.472966702521437,4.524099190464777
conditioned,1152,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.8112261710466895,0.271168977022171,1.104899287223816,0.08799680074055989,2.472966702521437,4.524099190464777
conditioned,1152,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.8111023109593644,0.27061745524406433,1.1049790382385254,0.0880285898844401,2.472966702521437,4.524099190464777
conditioned,1152,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.777827410373938,0.25883570313453674,1.0599596500396729,0.07451438903808594,2.472966702521437,4.524099190464777
conditioned,1152,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.7570837076497167,0.25178202986717224,1.032074213027954,0.06660302480061848,2.472966702521437,4.524099190464777
constant-control,0,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,0,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,0,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,0,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,0,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,0,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,0,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,0,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.0,0.0,0.0,0.0,0.9999999680821942,1.0000000540251566
constant-control,288,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
constant-control,288,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.07638635749605589,0.019832191988825798,0.12004200369119644,0.0,2.0055461935182053,3.2843196090208755
