update,current_loss,current_loss_ratio_to_plateau,selected_loss,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,gradient_nonzero_fraction,analytic_directional_derivative,negative_gradient_cosine,curvature_pair_accepted,curvature_s_dot_y,curvature_cosine,history_size_used,initial_inverse_hessian_scale,restart_reason
11,2.1459163690451533e-06,0.11936714861221638,1.8668397387955338e-06,0.10384343945106876,0.03,0.13005009620845448,4.127508797986045e-05,1.0,-2.9182779067525853e-05,0.707031298981973,True,6.183372216418746e-07,0.4202335548790075,10,257.03951091059776,none
12,1.866839625108696e-06,0.10384343312720924,1.6442704691144172e-06,0.09146296671980395,0.01,0.11922242971531088,6.129860229587409e-05,1.0,-5.091664845592442e-05,0.8306331113044952,True,1.1793053601628358e-06,0.4558795649013766,10,158.6052436193098,none
13,1.6442704691144172e-06,0.09146296671980395,1.5010747347332654e-06,0.08349766725470129,0.03,0.08708770063739892,2.640210994596002e-05,1.0,-9.935919820868343e-06,0.37633052245593746,True,5.614313383385904e-07,0.7627509865416636,10,103.62629745237938,none
14,1.501074848420103e-06,0.0834976735785608,1.3156261502444977e-06,0.07318204216142436,0.03,0.12354393811260782,2.7319893481575164e-05,1.0,-1.4938494578911522e-05,0.5467991518985958,True,3.182844589017866e-07,0.28298710257713,10,226.44403229413368,none
15,1.3156261502444977e-06,0.07318204216142436,1.2694800943791051e-06,0.07061515596408251,0.003,0.035075356214846226,4.035669085429424e-05,1.0,-2.0558089744984446e-05,0.5094096996422367,True,5.200566390330996e-07,0.31658885427204253,10,173.45279867556056,none
16,1.2694802080659429e-06,0.07061516228794201,1.1989711765636457e-06,0.06669307931991697,0.01,0.05554165480824461,2.7939514533391057e-05,1.0,-1.627932306075893e-05,0.5826630604954974,True,3.073418998253273e-08,0.4056134477193103,10,48.178347450291405,none
17,1.198971062876808e-06,0.06669307299605745,1.125905100707314e-06,0.06262876010363035,0.01,0.060940555140821945,3.267856344590271e-05,1.0,-1.4892146053524637e-05,0.45571605654469927,True,1.8693034832163973e-07,0.4150777078760614,10,92.16753533573747,none
18,1.125905100707314e-06,0.06262876010363035,1.0688033853512025e-06,0.05945246253619145,0.03,0.050716277348987225,2.1480757752376966e-05,1.0,-6.269183628089668e-06,0.2918511391562054,True,1.5132232246161804e-07,0.3343310741341377,10,73.86693286708369,none
19,1.0688033853512025e-06,0.05945246253619145,9.85380665952107e-07,0.054812052365604075,0.01,0.0780524468227459,2.6339524196826747e-05,1.0,-1.4104347534931808e-05,0.5354822445316041,True,2.632058135506087e-07,0.2377383643416122,10,193.26176539563687,none
20,9.853807796389447e-07,0.05481205868946359,9.254504220734816e-07,0.05147841717337645,0.03,0.06081949110822139,1.169224562900498e-05,1.0,-6.200973659989602e-06,0.5303492469044288,True,1.1487158425297846e-07,0.42392392920164257,10,156.4457015244103,none
21,9.254504220734816e-07,0.05147841717337645,8.797910027169564e-07,0.048938600256698106,0.01,0.04933750989515436,2.1375867837964104e-05,1.0,-1.438731261886615e-05,0.6730633223653796,True,2.5365817577752405e-07,0.3797312981312561,10,511.6173592844969,none
