accepted_update,normalized_negative_gradient,prpplus,lbfgs
1,0.6873661428655987,0.6873661428655987,0.6873661428655987
8,0.32015290080495146,0.21251494328003923,0.15820651043866843
16,0.18911299522776265,0.09722620344311385,0.06669307931991697
32,0.12737637992938525,0.061898721113242114,0.03336416109450325
64,0.06438661598135423,0.028591190180715667,0.019126244345837207
