iteration,accepted,current_loss_ratio_to_plateau,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,beta_raw,beta,restart_reason,negative_gradient_cosine
41,True,0.04185498909513665,0.04139884278429922,0.003,0.010898254203354404,1.01076045878479e-05,3.613447593029902,3.613447593029902,none,0.4625206252495178
42,True,0.04139884594622898,0.04081232694758431,0.01,0.014167520500607008,1.0020112371246367e-05,1.052845248320323,1.052845248320323,none,0.3976222237384265
43,True,0.04081233010951407,0.04072151948684662,0.003,0.0022250781179062075,1.90306426740207e-05,4.2816548221915,4.2816548221915,none,0.04708186696578809
44,True,0.04072151948684662,0.03998200735490157,0.001,0.018160229315213067,1.990805282689376e-05,0.05520368709571264,0.05520368709571264,none,0.940958915496085
45,True,0.03998200735490157,0.03944564604801783,0.003,0.013415066985574795,1.099649142723387e-05,-0.10361131057959962,0.0,negative_beta_clamped,0.9999999999999953
46,True,0.03944564288608807,0.03917977518426462,0.003,0.006740103148812282,1.8688447953862092e-05,3.3022452833320703,3.3022452833320703,none,0.269164943011004
47,True,0.03917977202233486,0.03858656554225072,0.001,0.01514063123557684,1.752864982276734e-05,0.13887203065254522,0.13887203065254522,none,0.9585667964030363
48,True,0.03858656554225072,0.03834829200143071,0.001,0.006175038837263385,7.254563765826678e-06,-0.11914306316776133,0.0,negative_beta_clamped,0.9999999999999941
49,True,0.03834829516336047,0.03822652924835618,0.001,0.0031752627981395318,5.758404128895e-06,0.4517861294105092,0.4517861294105092,none,0.8973631854704353
50,True,0.03822652924835618,0.0380846218407895,0.003,0.003712275489221332,8.048009792962671e-06,2.3201205331206185,2.3201205331206185,none,0.353109446242213
51,True,0.03808462500271926,0.03788398158795654,0.001,0.005268357368581026,1.1647124361067368e-05,1.1527397837744704,1.1527397837744704,none,0.42484824487207673
52,True,0.037883984749886294,0.03761411404498844,0.001,0.007123609268654466,8.671535029757828e-06,-0.02316704483340504,0.0,negative_beta_clamped,0.9999999999999956
53,True,0.03761411404498844,0.03745291254203469,0.001,0.004285665289389586,6.133322460235979e-06,0.3805299852296489,0.3805299852296489,none,0.8994136213147712
54,True,0.03745291886589421,0.03731198849462295,0.001,0.0037628675024204395,6.417886791621826e-06,1.166855639652941,1.166855639652941,none,0.6193956871153051
55,True,0.03731199165655271,0.0371406783022309,0.001,0.004591375231284807,4.971825889974581e-06,0.33845876455071316,0.33845876455071316,none,0.8466239486869621
56,True,0.0371406783022309,0.036998081593976856,0.001,0.0038393673667906046,4.124191438123005e-06,0.38568752655723726,0.38568752655723726,none,0.9169682681742574
57,True,0.036998078432047096,0.036619513229767066,0.003,0.010232023346167162,5.7673739836945384e-06,1.8742970799013694,1.8742970799013694,none,0.6182784843770561
58,True,0.036619513229767066,0.03414875285901689,0.03,0.0674711418266958,9.821032887616605e-06,3.3854746535159648,3.3854746535159648,none,0.2973438448258135
59,True,0.03414875285901689,0.03153531989369845,0.03,0.07653084656145405,1.8776853734513346e-05,3.3160494559445173,3.3160494559445173,none,0.11968113847391498
60,True,0.031535316731768695,0.030200798981706845,0.003,0.042318197131581484,1.8343204883310798e-05,0.1819234425366348,0.1819234425366348,none,0.5626178830533438
61,True,0.030200798981706845,0.029302735043945764,0.003,0.02973642976482356,1.472400618034024e-05,0.14072345955045662,0.14072345955045662,none,0.9642551308620045
62,True,0.029302735043945764,0.028824761931984615,0.003,0.016311552871918836,2.1367642955431447e-05,2.5050628792421015,2.5050628792421015,none,0.3333590354813629
63,True,0.028824761931984615,0.028591190180715667,0.001,0.00810316323930395,1.514020881816639e-05,-0.11633795612546292,0.0,negative_beta_clamped,0.9999999999999969
64,False,0.02859118701878591,0.028763635505891054,0.001,-0.006031525973085232,1.065492622621148e-05,0.9788812877416525,0.9788812877416525,none,0.04364055791386572
