iteration,accepted,current_loss_ratio_to_plateau,selected_loss_ratio_to_plateau,selected_radius_l2,relative_improvement,gradient_norm,beta_raw,beta,restart_reason,negative_gradient_cosine
0,True,1.0,0.6873661428655987,0.03,0.3126338571344012,0.00025156916969025126,0.0,0.0,initial,0.9999999999999954
1,True,0.6873661934564749,0.5389403538629423,0.03,0.21593415708614017,0.00015857884083425372,-0.0317868215164261,0.0,negative_beta_clamped,0.9999999999999966
2,True,0.5389403538629423,0.40580664369503616,0.03,0.24702865393850848,0.00011762979886887968,0.3102421353709389,0.3102421353709389,none,0.944275515655144
3,True,0.4058066183995981,0.3395424864707349,0.03,0.16328992412739018,8.838503450164274e-05,0.3872663606210307,0.3872663606210307,none,0.9036269231408511
4,True,0.3395424864707349,0.2755188979688269,0.03,0.18855840153431347,9.915890585191248e-05,1.481410842714048,1.481410842714048,none,0.5307664860131438
5,True,0.27551892326426497,0.24957984277367515,0.01,0.09414627562880783,8.159360127521988e-05,0.12579442225268017,0.12579442225268017,none,0.9623767553343473
6,True,0.24957984277367515,0.2290754365613179,0.01,0.08215569809037464,5.595274339766969e-05,0.4171292191370068,0.4171292191370068,none,0.8569958681694553
7,True,0.2290754365613179,0.21251494328003923,0.01,0.07229275006465329,5.353184777436278e-05,0.4839823709059153,0.4839823709059153,none,0.9123425337172518
8,True,0.21251494328003923,0.17606890932647862,0.03,0.17149868800300905,5.184107848098723e-05,1.0267752283113316,1.0267752283113316,none,0.6757159230256312
9,True,0.17606889667875958,0.1517419323994595,0.03,0.13816730119962647,6.822379515471288e-05,1.8563260063780223,1.8563260063780223,none,0.4249489949373578
10,True,0.15174191975174045,0.13452924683844966,0.03,0.11343386811931615,6.202573801965651e-05,1.0339054362029907,1.0339054362029907,none,0.2822169082631216
11,True,0.13452924683844966,0.12283013202700946,0.01,0.08696335619487393,5.0808158930239614e-05,0.1060330756189654,0.1060330756189654,none,0.907174244644579
12,True,0.1228301446747285,0.11121267088965574,0.01,0.09458161769521206,5.697110781353037e-05,1.3354036453325497,1.3354036453325497,none,0.5736325408206401
13,True,0.11121267088965574,0.10591985342811365,0.003,0.0475918563883208,4.799067328588271e-05,0.286429318743779,0.286429318743779,none,0.8965982279196814
14,True,0.10591986607583269,0.10368279444775252,0.003,0.021120415942355367,2.2268099468892057e-05,-0.16896414937943413,0.0,negative_beta_clamped,0.9999999999999933
15,True,0.10368279444775252,0.09722620344311385,0.01,0.06227254038655623,2.123938238002694e-05,0.7130664102121622,0.7130664102121622,none,0.8446297819503626
16,True,0.09722620976697337,0.09171190544969977,0.01,0.05671623249008667,3.155241510535983e-05,2.2895462956889063,2.2895462956889063,none,0.5502822144386115
17,True,0.09171189912584025,0.08341426819538804,0.03,0.09047496573009381,3.530251819906203e-05,1.7005438297554203,1.7005438297554203,none,0.2999872665986636
18,True,0.08341426187152852,0.08149146708987622,0.003,0.023051151427962328,3.720964322528147e-05,0.5204160127891997,0.5204160127891997,none,0.44484950544138435
19,True,0.08149146708987622,0.07863631408030088,0.003,0.03503622049688236,2.3595807186380057e-05,-0.029059461673484936,0.0,negative_beta_clamped,0.9999999999999928
20,True,0.07863631408030088,0.07586772838365692,0.01,0.03520747035290543,1.8663397896518974e-05,0.17231562248474916,0.17231562248474916,none,0.9876382288460105
21,True,0.07586772838365692,0.07508495472875448,0.003,0.01031761028805305,4.705377397695349e-05,7.071140330631463,7.071140330631463,none,0.1359440121731794
