accepted_update,parent_ratio,prpplus_ratio
1,0.6873661428655987,0.6873661428655987
8,0.32015290080495146,0.21251494328003923
16,0.18911299522776265,0.09722620344311385
32,0.12737637992938525,0.061898721113242114
40,0.09086059380534958,0.042361938131405756
64,0.06438661598135423,0.028591190180715667
