arm,seed,step,open_ce,mcq_ce_mean
mcq,0,0,9.739221572875977,26.260445594787598
mcq,0,64,4.720920562744141,0.0005508558824658394
mcq,0,128,4.248945236206055,0.00016470602713525295
mcq,0,192,3.947071075439453,0.00012968969531357288
mcq,0,256,3.9087791442871094,0.00010159407975152135
mcq,1,0,9.256978988647461,26.020864009857178
mcq,1,64,6.628936767578125,0.001002757780952379
mcq,1,128,7.017961502075195,0.0004945555119775236
mcq,1,192,6.990270614624023,0.0003183336229994893
mcq,1,256,6.988214492797852,0.00025354355602758005
mcq,2,0,9.496044158935547,26.63544225692749
mcq,2,64,5.890832901000977,0.00032342923805117607
mcq,2,128,5.694849014282227,0.00016514299204573035
mcq,2,192,5.457063674926758,0.00013645319268107414
mcq,2,256,5.355180740356445,0.00010599865345284343
mcq,3,0,9.819042205810547,26.04169464111328
mcq,3,64,6.588701248168945,0.0008002608083188534
mcq,3,128,6.313665390014648,0.00033311807783320546
mcq,3,192,6.039806365966797,0.00023832594160921872
mcq,3,256,5.842199325561523,0.00018647860269993544
mcq,4,0,9.369386672973633,26.031280040740967
mcq,4,64,11.833881378173828,0.00046540406947315205
mcq,4,128,12.538192749023438,0.00017486968681623694
mcq,4,192,13.15052604675293,0.0001472160683988477
mcq,4,256,13.033262252807617,0.00012203425831103232
mcq,5,0,9.491512298583984,25.437535762786865
mcq,5,64,8.452400207519531,0.0022268645698204637
mcq,5,128,8.116851806640625,0.000577111539314501
mcq,5,192,7.99186897277832,0.0003575162554625422
mcq,5,256,7.8548126220703125,0.0003087532240897417
mcq,6,0,9.67970085144043,26.958354949951172
mcq,6,64,5.162656784057617,0.00039286901301238686
mcq,6,128,4.749767303466797,0.000210436764973565
mcq,6,192,4.507656097412109,0.0001636589895497309
mcq,6,256,4.596466064453125,0.00014226362327462994
mcq,7,0,9.44691276550293,25.93753480911255
mcq,7,64,7.9839935302734375,0.0017612015217309818
mcq,7,128,8.69754409790039,0.0005634355984511785
mcq,7,192,8.598918914794922,0.00044942944623471703
mcq,7,256,8.290790557861328,0.0002906933123085764
open,0,0,9.739221572875977,26.260445594787598
open,0,64,0.00035858154296875,6.170827865600586
open,0,128,0.0001220703125,6.099105358123779
open,0,192,9.1552734375e-05,5.910712480545044
open,0,256,6.4849853515625e-05,5.764596223831177
open,1,0,9.256978988647461,26.020864009857178
open,1,64,0.00054168701171875,7.31074333190918
open,1,128,0.00022125244140625,7.520581364631653
open,1,192,0.000164031982421875,7.651212215423584
open,1,256,0.000118255615234375,7.496216177940369
open,2,0,9.496044158935547,26.63544225692749
open,2,64,0.00063323974609375,5.632381319999695
open,2,128,0.000209808349609375,5.651951909065247
open,2,192,0.000125885009765625,5.7524333000183105
open,2,256,0.00012969970703125,5.368380308151245
open,3,0,9.819042205810547,26.04169464111328
open,3,64,0.0034923553466796875,5.036702632904053
open,3,128,0.0008182525634765625,4.915663719177246
open,3,192,0.00054168701171875,4.726058006286621
open,3,256,0.0003299713134765625,4.7927374839782715
open,4,0,9.369386672973633,26.031280040740967
open,4,64,0.0004730224609375,3.7848023176193237
open,4,128,0.0002288818359375,3.7557932138442993
open,4,192,0.000156402587890625,3.5705446004867554
open,4,256,0.0001068115234375,3.5502395629882812
open,5,0,9.491512298583984,25.437535762786865
open,5,64,0.004322052001953125,6.575227856636047
open,5,128,0.0006084442138671875,6.825935006141663
open,5,192,0.0002613067626953125,6.802215337753296
open,5,256,0.000225067138671875,6.551045298576355
open,6,0,9.67970085144043,26.958354949951172
open,6,64,0.0021152496337890625,4.630216717720032
open,6,128,0.0006732940673828125,4.776569247245789
open,6,192,0.0004863739013671875,4.691222190856934
open,6,256,0.0003528594970703125,4.806259870529175
open,7,0,9.44691276550293,25.93753480911255
open,7,64,0.00017547607421875,5.210430860519409
open,7,128,8.392333984375e-05,5.021632552146912
open,7,192,5.7220458984375e-05,4.813901424407959
open,7,256,4.9591064453125e-05,4.792367339134216
