arm,step,init_id,latent_rms,latent_l2,to_reference_cosine,to_reference_l2,to_reference_rmse,to_own_start_cosine,to_own_start_l2,to_own_start_rmse,to_same_arm_blank_cosine,to_same_arm_blank_l2,to_same_arm_blank_rmse
mcq,0,noise-seed-00,0.5698339583606017,145.87749334031403,0.9950330550007612,14.521517600320635,0.056724678126257574,0.9999999999999754,0.0,0.0,0.9950330550007612,14.521517600320635,0.056724678126257574
mcq,0,noise-seed-01,0.5703678062125911,146.01415839042332,0.995042413251033,14.52151760723156,0.05672467815325334,0.9999999999999742,0.0,0.0,0.995042413251033,14.52151760723156,0.05672467815325334
mcq,0,noise-seed-02,0.5697870835960719,145.8654934005944,0.9950322745850604,14.521517575470808,0.056724678029187854,0.9999999999999727,0.0,0.0,0.9950322745850604,14.521517575470808,0.056724678029187854
mcq,0,noise-seed-03,0.5700423816639022,145.93084970595896,0.99503660581978,14.52151761540247,0.05672467818517089,0.9999999999999742,0.0,0.0,0.99503660581978,14.52151761540247,0.05672467818517089
mcq,0,noise-seed-04,0.5703408178493096,146.00724936942325,0.9950419194379772,14.521517594577125,0.056724678103821945,0.9999999999999729,0.0,0.0,0.9950419194379772,14.521517594577125,0.056724678103821945
mcq,0,noise-seed-05,0.5702516652411034,145.98442630172246,0.9950403038479901,14.521517573613213,0.056724678021931554,0.9999999999999677,0.0,0.0,0.9950403038479901,14.521517573613213,0.056724678021931554
mcq,0,noise-seed-06,0.5698824628105531,145.8899104795016,0.9950338695867135,14.521517600904655,0.05672467812853879,0.9999999999999706,0.0,0.0,0.9950338695867135,14.521517600904655,0.05672467812853879
mcq,0,noise-seed-07,0.5697735748234545,145.86203515480435,0.9950320508928843,14.521517602369805,0.056724678134262005,0.9999999999999738,0.0,0.0,0.9950320508928843,14.521517602369805,0.056724678134262005
mcq,1,noise-seed-00,0.5716624986646882,146.34559965816018,0.9912043394201321,19.368056530748877,0.07565647082324177,0.9961678811381854,12.799973697831266,0.04999989725716032,0.9872723423651383,23.307398746822713,0.09104452635477848
mcq,1,noise-seed-01,0.5726511460465283,146.59869338791125,0.9911984836953331,19.407568851238885,0.07581081582515599,0.9961809380780366,12.799977549983911,0.04999991230463197,0.9873509921199436,23.26359389578095,0.09087341365539657
