optimizer_step,mse,rmse,l2_distance,mse_ratio_to_m0,l2_distance_ratio_to_m0,teacher_normalized_rmse,gradient_norm,gradient_nonzero_fraction,x_T_update_norm,elapsed_seconds
1,0.12413695454597473,0.3523307459560899,90.19667096475901,1.0,1.0,0.5381839141556165,0.000719520277290161,0.99957275390625,12.45207028497319,1.3097438532859087
2,0.12099334597587585,0.3478409779998266,89.04729036795561,0.9746762873183373,0.9872569510103929,0.531325810172113,0.00036362874682433746,0.999755859375,10.64893354481588,2.2524512112140656
3,0.11937089264392853,0.34550093001890536,88.44823808483977,0.9616064215569179,0.9806153280246632,0.5277513955173071,0.0003453499682434827,0.9993743896484375,9.058866657943732,3.192348170094192
4,0.11819888651371002,0.34380064937941873,88.0129662411312,0.952165186797252,0.975789519720955,0.5251542231154527,0.0003197609974400225,0.999542236328125,8.230872729941783,4.131784218363464
5,0.11705176532268524,0.3421282878142134,87.58484168043863,0.9429244156246361,0.971042952512728,0.5225996969965264,0.00027030965710626224,0.9996185302734375,7.872213665086737,5.223917361348867
6,0.11606641113758087,0.34068520827529464,87.21541331847543,0.93498677780592,0.9669471432327209,0.5203953983265773,0.00022850809091413195,0.999359130859375,7.523223694769743,6.161778159439564
7,0.11537396162748337,0.33966742797548805,86.95486156172494,0.9294086684296259,0.964058436211014,0.5188407426747863,0.0002053459557322916,0.9994659423828125,7.0759202020729735,7.103029812686145
8,0.11487437039613724,0.3389312177951999,86.76639175557118,0.9253841518529677,0.9619688933915523,0.5177161843414126,0.0002041538998916975,0.99951171875,6.550085941203042,8.044003299437463
9,0.11448535323143005,0.33835684303916486,86.6193518180262,0.9222503778198444,0.9603386787065511,0.5168388290213247,0.0002180203521461415,0.9994964599609375,6.206610035769836,9.124146818183362
10,0.11401048302650452,0.3376543839882795,86.43952230099956,0.9184250044113993,0.9583449297676694,0.5157658254135538,0.000212503053454402,0.999664306640625,6.082972951712567,10.066151255741715
11,0.1135198324918747,0.336927043277732,86.25332307909939,0.9144725106803878,0.9562805606517303,0.5146548151624757,0.0001969949006107985,0.999664306640625,6.0502647451558405,11.003578102216125
12,0.11297231167554855,0.33611353985751385,86.04506620352355,0.9100618916320257,0.9539716408950665,0.5134121916903631,0.00023425253925270142,0.9994659423828125,6.044931973090626,11.943433462642133
13,0.11245144158601761,0.33533780220252174,85.84647736384557,0.9058659606827285,0.9517699095278902,0.512227255285257,0.00014203504115422642,0.9994964599609375,6.005484071422026,13.027829539962113
14,0.11202028393745422,0.334694314169593,85.68174442741581,0.9023927189704575,0.9499435346221676,0.5112443296897796,0.00014527214198997276,0.9996185302734375,5.90626506689404,13.969175770878792
15,0.11166335642337799,0.33416067456147197,85.54513268773682,0.8995174469341675,0.9484289361539785,0.5104291971577954,0.0001905532227452272,0.999603271484375,5.780067289950878,14.906816229224205
16,0.11133027076721191,0.3336619108726855,85.41744918340748,0.896834235819602,0.9470133239926468,0.5096673374638837,0.00014622427534397557,0.99951171875,5.662598962090254,15.846349449828267
17,0.11101363599300385,0.3331870885748784,85.29589467516887,0.8942835467410263,0.9456656632980952,0.5089420481563363,0.000161168447773756,0.9995574951171875,5.601201761076362,16.93371521681547
18,0.11066114902496338,0.3326577054946471,85.16037260662966,0.8914440460514075,0.9441631458870906,0.5081334174549949,0.00013772063087335567,0.999664306640625,5.548132446074538,17.875132739543915
19,0.11036118865013123,0.3322065451644974,85.04487556211133,0.8890276795799628,0.9428826435882478,0.5074442717157184,0.00012678867577660117,0.99969482421875,5.436409156117586,18.81241511274129
20,0.11005613952875137,0.3317471017639059,84.92725805155992,0.8865703201055375,0.9415786319291327,0.5067424736169113,0.00012845384622701543,0.99981689453125,5.355091679526587,19.910702128894627
21,0.1097792237997055,0.3313294792192592,84.82034668013036,0.8843395925187469,0.9403933179892054,0.506104556721218,0.0001375531682440199,0.9996337890625,5.313726787463666,20.853619932197034
22,0.10949036478996277,0.3308932830837803,84.70868046944776,0.8820126544139801,0.9391552876995263,0.5054382687340753,0.00013167330410209744,0.99969482421875,5.322705376569117,21.79404954519123
23,0.1091533750295639,0.3303836785156977,84.57822170001862,0.8792979933234822,0.9377089064968308,0.5046598496370475,0.00012049758495212083,0.9997406005859375,5.3177782460594605,22.734310486353934
