seed,start_pc1,start_pc2,final_pc1,final_pc2,endpoint_rmse_from_start,cumulative_path_length,step_95pct_path,off_plane_rmse,final_mcq_correct,final_mcq_views
0,-0.00411143,0.00785442,-0.01327318,0.26563171,0.3146141867760236,0.43565996715616906,35,0.13535300040189768,4,4
1,-0.00581346,-0.00197662,-0.06190107,-0.07279865,0.30819145843817647,0.4225135225339054,34,0.276502039405392,4,4
2,-0.00570815,-0.00019867,-0.0688021,0.01055982,0.31116160227392076,0.4303875655968665,33,0.28739593665244123,4,4
3,-0.00520932,0.00020302,-0.05033083,0.00996389,0.30784778518826644,0.4092999067953994,33,0.28726241886812925,4,4
4,-0.004181,-0.00045752,-0.01985698,-0.00576513,0.3062285397210755,0.41913420441753896,33,0.2902185377521208,4,4
5,-0.00610549,-0.00561679,-0.05876184,-0.15803483,0.31277563749514253,0.48702686735179,41,0.2450279797796171,4,4
6,-0.00452812,-0.00131438,-0.02753416,-0.01863961,0.3021825458697287,0.3837440736603902,32,0.2864972868898953,4,4
7,0.0052857,-0.00125465,0.30444414,-0.03188014,0.32723039437284274,0.5045837845283637,37,0.03864366302356268,4,4
