target_index,family,segment_id,gate,m0_normal_ce,endpoint_normal_ce,relative_change,improved_choice_views,accuracy_delta,normal_reset_did,first_train_loss,final_train_loss,minimum_train_loss,final_latent_delta_norm,final_image_saturation_fraction,wall_clock_seconds
0,F1,r5-f1-8015bf53a4067aaa7e882288,True,15.098970413208008,0.00027180618053535,-0.9999819983632594,4,1.0,-15.098698607027472,13.770842552185059,0.0003014206886291504,0.00012575788423419,75.97787233065513,0.0,192.98977203201503
1,F1,r5-f1-392d41fd097d069c42218e0a,True,27.697927474975586,0.0001769560039974749,-0.9999936112185954,4,1.0,-27.69775051897159,26.708362579345703,0.00019381940364837646,7.045082747936249e-05,87.38857806542164,5.404154459635416e-06,203.59826140850782
2,F1,r5-f1-1aee01c0f3e7684c05c9122c,True,31.182291507720947,0.0002388647844782099,-0.9999923397296052,4,1.0,-31.18205264293647,31.0,6.21061772108078e-05,5.841080565005541e-05,78.5160733917643,0.0,197.33227687049657
3,F1,r5-f1-807090710dd4c077a97348ba,True,34.895833015441895,0.00021269560420478228,-0.9999939048423314,4,1.0,-34.89562031983769,34.08333206176758,0.00010477937757968903,8.487341256113723e-05,76.83574469898149,1.430511474609375e-05,199.4052995722741
4,F1,r5-f1-02c8aa9dc3523351c4d5f9c7,True,33.18229150772095,0.00028360230498947203,-0.9999914532031363,4,1.0,-33.18200790541596,35.125,0.00010811537504196167,5.781487561762333e-05,76.12659738954233,0.0,188.11658831685781
5,F1,r5-f1-11dddf29efebc033a995ab92,True,17.50260305404663,0.0008488260209560394,-0.9999515028696969,4,1.0,-17.501754228025675,17.21875,0.0003697201609611511,0.000293925404548645,79.36639684573636,3.4968058268229165e-06,210.898719554767
6,F1,r5-f1-de4899e05b0aa7f3d8373171,True,13.291670560836792,0.0001925051910802722,-0.9999855168550711,4,1.0,-13.291478055645712,13.437503814697266,0.00018644332885742188,0.00010346993803977966,78.67759669339394,0.0,191.27037579007447
7,F1,r5-f1-850189e424efde62468b2ef9,True,35.31770896911621,7.959769573062658e-05,-0.9999977462384154,4,1.0,-35.31762937142048,36.29166793823242,0.00011062063276767731,2.6821624487638474e-05,75.85015469982986,0.0,202.57760088704526
