split,segment_id,target_value,normal_base_pixel_rms,donor_base_pixel_rms,normal_donor_pixel_rms,normal_base_mean_abs
train_audit,r5-f1-ee59008270e04ddeb87f5940,tacos,0.14338108328434337,0.08152451146974506,0.11828514052387469,0.10336072577560707
dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,purple,0.1725229693767423,0.09671746437359845,0.13067207136777562,0.12715975856993303
dev_replay,r5-f1-a3e0a264c6669d943382da4f,purple,0.16726133781855756,0.04615927184815702,0.16219015315726878,0.12354460610843843
dev_final,r5-f1-865bcf071bbf554889ae9c0a,blues,0.1309090358790245,0.08777263981040728,0.08836225162585812,0.09496852647967469
