optimizer_step,epoch_zero,learning_rate,own_ce_mean,donor_ce_mean,ranking_loss_mean,ranking_satisfied_fraction,objective_mean,residual_coefficient_norm_mean,residual_rms_mean,image_saturation_fraction_mean,mean_residual_coefficient_max_abs,mean_residual_delta_max_abs,gradient_norm,gradient_nonzero_fraction,basis_parameter_norm,gradient_clipped,own_ce_mean_moving_mean_16,donor_ce_mean_moving_mean_16,ranking_loss_mean_moving_mean_16,ranking_satisfied_fraction_moving_mean_16
1,0,0.001,0.761210486292839,0.746833398938179,1.4006714820861816,0.0,2.161881923675537,0.0382437642052706,0.05097182048484683,0.10896794001261392,3.063016507098837e-08,8.636296655595288e-08,0.5914949497028353,0.9999203685797168,23.791366732723798,False,0.761210486292839,0.746833398938179,1.4006714820861816,0.0
2,0,0.001,1.1255591213703156,1.2469758093357086,1.2648776471614838,0.0,2.3904367685317993,0.06523933059598352,0.08428539615124464,0.09508212407430013,2.721531622285056e-08,1.2189018150365882e-07,1.8685854690589698,0.9999201315814421,23.865780860634985,False,0.9433848038315773,0.9969046041369438,1.3327745646238327,0.0
3,0,0.001,1.1016112118959427,0.8837824314832687,1.6041231751441956,0.0,2.705734372138977,0.10908566343799359,0.13897850178182125,0.09728765487670898,1.6867286234401035e-08,6.489296566769553e-08,5.688923867269603,0.9998179853250668,23.927064778637558,False,0.9961269398530325,0.9591972132523855,1.4232241014639537,0.0
4,0,0.001,1.1880670189857483,1.0698508471250534,1.5045104920864105,0.0,2.692577540874481,0.07866412128683933,0.10405714996159077,0.11432631810506184,2.566311074758687e-08,7.598640650030575e-08,2.822175313461194,0.9995563392298504,23.998297651024583,False,1.0441119596362114,0.9868606217205524,1.4435456991195679,0.0
5,0,0.001,0.9440713822841644,0.8993319422006607,1.4310338199138641,0.0,2.375105142593384,0.05837592271295923,0.06415360514074564,0.10222975413004556,2.4835268064293814e-08,2.00781329340316e-07,3.1857437671941926,0.9994084523064672,24.081453101593127,False,1.024103844165802,0.9693548858165741,1.4410433232784272,0.0
6,0,0.001,1.2301816046237946,1.2885984480381012,1.327877551317215,0.0,2.5580591559410095,0.0487507557684032,0.04171439120545983,0.09635512034098306,3.011276206166258e-08,1.628811077125647e-07,5.093599329588626,0.9992491894659007,24.159934485973356,False,1.0584501375754674,1.0225621461868286,1.4221823612848918,0.0
7,0,0.001,1.777258649468422,1.2189079225063324,1.94464510679245,0.0,3.7219037413597107,0.11773946895387281,0.139096487313509,0.10197321573893228,3.228585043757448e-08,1.6457184415230586e-07,31.866355318210946,0.9989989192878675,24.23154252500906,False,1.1611370678458894,1.0506115428039007,1.4968198963574,0.0
8,0,0.001,0.8672722578048706,0.9358519613742828,1.3177145719528198,0.0,2.1849868297576904,0.08703600643942727,0.08663101401180029,0.10709055264790852,3.228585043757448e-08,1.5879633963322703e-07,3.5407352817505178,0.9987486491098345,24.309704430777497,False,1.1244039665907621,1.0362665951251984,1.4744317308068275,0.0
9,0,0.001,0.8649171516299248,1.2334620654582977,1.017749398946762,0.0,1.882666528224945,0.0795766642932538,0.0690770479850471,0.11807513236999512,3.973643103449831e-08,1.597917815843175e-07,3.6509578040088537,0.998487003014618,24.391433819083893,False,1.0955720982617803,1.0581772029399872,1.4236892494890425,0.0
10,0,0.001,1.5506805181503296,1.2162601053714752,1.7207147181034088,0.0,3.271395266056061,0.0660678324107625,0.07241876982152462,0.09876449902852376,2.8353598580110884e-08,8.701390896703742e-08,6.770094505982554,0.9983163642568682,24.46965679864213,False,1.141082940250635,1.073985493183136,1.4533917963504792,0.0
11,0,0.001,1.0147526562213898,1.0486305356025696,1.3524165153503418,0.0,2.367169201374054,0.07297862852416907,0.06968773249536753,0.09875241915384927,2.6801394881204033e-08,1.0853994325543681e-07,6.041889018113746,0.9982139810022183,24.55019910546719,False,1.1295983689752491,1.0716804970394482,1.4442122253504666,0.0
12,0,0.001,1.6134383827447891,1.239487960934639,1.7602447867393494,0.0,3.3736831545829773,0.07793957405936705,0.08814839646220207,0.11050105094909668,3.621810051868124e-08,5.1347150531455554e-08,5.959677795014324,0.9980774699960184,24.62999266133236,False,1.169918370122711,1.0856644523640473,1.4705482721328735,0.0
13,0,0.001,1.322004348039627,1.373688966035843,1.334609717130661,0.0,2.656614065170288,0.04224235875820468,0.03780559217557311,0.10658121109008789,3.0423205288343524e-08,4.398595265797667e-08,6.971540072575199,0.9980092144929185,24.711203004769537,False,1.181617291500935,1.1078201841849546,1.4600914602096264,0.0
14,0,0.001,1.606178104877472,1.614416480064392,1.3780560493469238,0.0,2.984234094619751,0.028780566607947276,0.028491324628703296,0.09589322408040364,3.9943390817143154e-08,1.022579780851629e-07,3.5958143536918743,0.9978727034867186,24.791326614454498,False,1.2119430638849735,1.1440056338906288,1.4542317880051476,0.0
15,0,0.001,1.0845383554697037,0.968706339597702,1.5021264255046844,0.0,2.5866647958755493,0.031021785174046128,0.03337862598709762,0.10747186342875162,1.6349885001432085e-08,4.7467864305872354e-08,3.4348035259920513,0.9977930720664353,24.870361860099894,False,1.2034494166572889,1.1323190142711004,1.45742476383845,0.0
16,0,0.001,0.92316734790802,1.0390301123261452,1.2704316079616547,0.0,2.1935989260673523,0.02499620071253353,0.029628657270222902,0.09473093350728352,2.866404003043499e-08,5.3314487047373404e-08,4.796206092765834,0.9977361924805187,24.947444931303895,False,1.1859317873604596,1.1264884578995407,1.4457376915961504,0.0
17,0,0.001,0.9150799065828323,0.9319847673177719,1.3693894743919373,0.0,2.2844693660736084,0.03180129864409312,0.035431775730103254,0.09771641095479329,1.9350814284280204e-08,1.3213266925049538e-07,1.4236263560282865,0.9976793128946021,25.02210377072997,False,1.1955486261285841,1.1380604184232652,1.4437825661152601,0.0
18,0,0.001,1.0004339665174484,1.0788458734750748,1.3078824877738953,0.0,2.308316469192505,0.03201016117625467,0.023562248796224594,0.10270563761393228,3.228585043757448e-08,6.797664298119344e-08,3.1479964013800203,0.9976338092258689,25.093542145703942,False,1.18772830395028,1.1275522974319756,1.4464703686535358,0.0
19,0,0.001,1.2779282070696354,1.2261619791388512,1.4380605816841125,0.0,2.7159887850284576,0.04639881501881302,0.043945402605459094,0.11126311620076497,3.973643103449831e-08,4.854387469777066e-08,5.845723079471795,0.9976108203932276,25.16092099054895,False,1.1987481161486357,1.1489510191604495,1.4360914565622807,0.0
20,0,0.001,1.34517340362072,1.3620828241109848,1.3693848848342896,0.0,2.7145583033561707,0.06155679106341298,0.04756618198007345,0.09893592198689778,2.3800465598355913e-08,6.513360517601541e-08,4.101870178615137,0.9975883055571355,25.225494508438704,False,1.2085672651883215,1.1672155177220702,1.427646106109023,0.0
21,0,0.001,1.5193176865577698,1.4581419825553894,1.4474700689315796,0.0,2.966787815093994,0.04856098555996627,0.04524512216448784,0.10210776329040527,2.4421348499004125e-08,7.074619645663915e-08,4.849736356542071,0.9975541778055855,25.28700913567453,False,1.2445201592054218,1.2021411452442408,1.4286733716726303,0.0
22,0,0.001,0.8285391479730606,0.9842140078544617,1.2306195199489594,0.0,2.059158682823181,0.0733205940933724,0.07835662178695202,0.10179742177327473,3.2906729785509015e-08,9.027001368622223e-08,4.473035987516169,0.9975428018884023,25.34679916036569,False,1.219417505664751,1.1831171177327633,1.4225947447121143,0.0
23,0,0.001,1.2232466340065002,1.4855477809906006,1.1239932179450989,0.0,2.347239851951599,0.05502402693527671,0.06117636803537607,0.09502871831258138,1.9764735625926733e-08,6.529528917553762e-08,4.378250023588779,0.9974972982196689,25.40343048960838,False,1.1847917546983808,1.19978210888803,1.371304001659155,0.0
24,0,0.001,0.9822321385145187,1.0188122987747192,1.3497141599655151,0.0,2.3319462537765503,0.05498498850277926,0.04827875830233097,0.09621755282084146,1.614292521878724e-08,3.74139084158287e-08,6.344475983492624,0.9974404186337523,25.457469342848842,False,1.1919767472427338,1.2049671299755573,1.3733039759099483,0.0
25,0,0.001,1.1779556348919868,1.459961324930191,1.1042886972427368,0.0,2.2822443544864655,0.05953559869362664,0.040558354929089546,0.10228784879048665,3.632158041000366e-08,9.244305942956998e-08,3.689291345892909,0.9974288057182944,25.51040851143578,False,1.2115416524466127,1.2191233336925507,1.3787126820534468,0.0
26,0,0.001,1.3766692280769348,1.5874856412410736,1.1754779517650604,0.0,2.552147150039673,0.05532787323487262,0.0498433718457818,0.10119279225667317,2.2972622915062857e-08,5.3095575935913075e-08,15.34138880588963,0.9974288057182944,25.561279499184927,False,1.2006659468170255,1.2423249296844006,1.3446353841573,0.0
27,0,0.001,1.3061693608760834,1.4916413873434067,1.2008223235607147,0.0,2.506991684436798,0.0693919240408627,0.06610510917380452,0.10247627894083658,3.890858835120525e-08,6.748008729573485e-08,4.5613861743161745,0.9973949149650191,25.612026317990715,False,1.218879490857944,1.2700131079182029,1.3351607471704483,0.0
28,0,0.001,0.9822118878364563,1.4043774902820587,0.964128702878952,0.0,1.9463406205177307,0.06543833242684167,0.06767520541325212,0.11356353759765625,3.456241515209513e-08,7.433855842009507e-08,4.959261526373757,0.9973607872134691,25.662523067227703,False,1.179427834926173,1.2803187035024166,1.2854034919291735,0.0
