split,targets,target_pass_count,required_target_pass_count,m0_accuracy,m0_ce,normal_accuracy,normal_ce,reset_accuracy,reset_ce,donor_accuracy,donor_ce,base_accuracy,base_ce,normal_relative_ce_vs_donor,normal_relative_ce_vs_base,normal_accuracy_delta_vs_donor,normal_accuracy_delta_vs_base
train_audit,36,17,36,0.0,23.94902253482077,0.8680555555555556,0.4451520501348164,0.0,23.94902253482077,0.3402777777777778,1.8688914268033032,0.5,1.139950920517246,-0.7618095713049319,-0.609498933574411,0.5277777777777778,0.3680555555555556
dev_select,24,1,24,0.0,25.00755041340987,0.25,2.7152604164245226,0.0,25.00755041340987,0.3125,2.4686593274539823,0.2916666666666667,1.3533110652739804,0.09989271756863638,1.0063830748881175,-0.0625,-0.041666666666666685
dev_replay,24,4,24,0.0,24.358342245221138,0.3229166666666667,2.062556039500729,0.0,24.358342245221138,0.2916666666666667,4.164141195845635,0.2916666666666667,1.3679710555200775,-0.5046863344695316,0.5077483044526723,0.03125,0.03125
dev_final,24,7,24,0.0,24.963118771711986,0.5,1.7901917868827393,0.0,24.963118771711986,0.3229166666666667,3.006190547903922,0.21875,1.3982959028022985,-0.4044982317800987,0.2802667756481654,0.17708333333333331,0.28125
