arm,optimizer_step,learning_rate,loss_mean,loss_F2,loss_F3,loss_F5,loss_F6,gradient_norm_before_clip,gradient_clipped,update_weight_ratio,state_gradient_nonzero_fraction,image_saturation_fraction_mean
legacy-pure-noise,1,1e-05,16.213104486465454,8.856697082519531,11.91148328781128,23.896729469299316,20.18750810623169,82739.6171875,True,0.0003623199827604804,1.0,0.005253553492366336
legacy-pure-noise,2,1.1333333333333334e-05,17.57148253917694,9.52535629272461,11.03649377822876,28.145925521850586,21.57815456390381,25366.453125,True,0.0005938967748335025,1.0,0.006271839280088898
legacy-pure-noise,3,1.2666666666666667e-05,15.44200849533081,5.474552154541016,12.645853996276855,29.28297996520996,14.36464786529541,41706.48046875,True,0.000541311279342369,1.0,0.0051707428428926505
legacy-pure-noise,4,1.4000000000000001e-05,19.851439356803894,10.899710655212402,13.406259059906006,35.05287742614746,20.046910285949707,26595.43359375,True,0.000539561971801487,1.0,0.007455865714291576
legacy-pure-noise,5,1.5333333333333334e-05,15.961406171321869,6.8606250286102295,12.19802474975586,27.5474796295166,17.239495277404785,58270.58203125,True,0.00045768805749519696,1.0,0.00449728991225129
legacy-pure-noise,6,1.6666666666666667e-05,15.54085624217987,6.538079738616943,13.661478042602539,27.729280471801758,14.234586715698242,46681.8984375,True,0.0004279971877713504,1.0,0.006097317062085494
legacy-pure-noise,7,1.8e-05,17.495148241519928,7.66241192817688,12.250280857086182,32.5665168762207,17.501383304595947,35787.8984375,True,0.0006140462849269081,1.0,0.0067773266055155545
legacy-pure-noise,8,1.9333333333333333e-05,17.754928469657898,10.139020919799805,11.812524318695068,28.702506065368652,20.365662574768066,181366.859375,True,0.0002851524074199255,1.0,0.005107840013806708
legacy-pure-noise,9,2.0666666666666666e-05,17.059561133384705,7.364388942718506,10.518157005310059,30.62644100189209,19.729257583618164,15943.212890625,True,0.000353009284950337,1.0,0.0049326818698318675
legacy-pure-noise,10,2.2e-05,16.827629327774048,10.58096170425415,9.54734992980957,27.505081176757812,19.677124500274658,16253.8388671875,True,0.00038269127337829233,1.0,0.005353053587896284
legacy-pure-noise,11,2.3333333333333332e-05,17.150520086288452,8.676554203033447,10.083395957946777,30.493112564086914,19.34901762008667,70600.9765625,True,0.00042985782779850283,1.0,0.006497224254417233
legacy-pure-noise,12,2.4666666666666665e-05,15.694340705871582,5.756514549255371,11.744803428649902,27.510380744934082,17.765664100646973,361837.84375,True,0.00046834581431010736,1.0,0.005775173565780278
legacy-pure-noise,13,2.6000000000000002e-05,16.53650140762329,7.459258079528809,9.149640083312988,26.06314468383789,23.473962783813477,59495.578125,True,0.0005038923450965153,1.0,0.005271832276775967
