arm,edit_start_sigma,hard8_m0_ce,hard8_endpoint_ce,hard8_delta_ce,hard8_relative_change,hard8_ci95_low,hard8_ci95_high,hard8_improved_units,hard8_m0_accuracy,hard8_endpoint_accuracy,hard8_accuracy_delta,hard8_state_did,formal_delta_ce,mechanism_delta_ce,technical_gate,hard8_gate,fixed_dev_gate,clip_rate,audit_gradient_median,audit_gradient_max_min_ratio,negative_gradient_cosine_fraction,median_gradient_cosine,raw_vs_unit_balanced_cosine
legacy-pure-noise,1.0,16.556322291493416,15.114492148160934,-1.4418301433324814,-0.08708637811872566,-3.4305551052093506,0.14014435932040098,5,0.03125,0.03125,0.0,-1.4418301433324814,0.5652986901501817,-0.10230322368443012,True,False,False,1.0,4718.650361695187,594.7154967994036,0.4642857142857143,0.013444305487086384,0.5159418885848165
source-anchored,0.5,21.15451119840145,21.073971152305603,-0.08054004609584808,-0.0038072279402009412,-0.2133518651127815,0.05812265425920486,4,0.0,0.0,0.0,-0.08054004609584808,0.018860382338364956,-0.0009147990494966507,True,False,False,0.0625,6.586944693552115,25.37988857054792,0.42857142857142855,0.16685252795172523,0.920172891982485
