arm,index,segment_id,family,loss,gradient_norm,norm_share_of_sum_of_norms,cosine_to_raw_batch_gradient,cosine_to_unit_balanced_gradient
legacy-pure-noise,0,r5-f2-d1803aae745ed83f142b0bae,F2,6.792842864990234,28023.78125,0.04052783085166946,-0.012697992211992398,0.3659752550791328
legacy-pure-noise,1,r5-f2-6db739261bbb0fc74169dc1f,F2,10.940906524658203,4465.23583984375,0.006457576614734673,-0.0208862181169184,0.1399209272175801
legacy-pure-noise,2,r5-f3-dbc9791cf4ba3569afc7a3d0,F3,14.802095413208008,614.1929321289062,0.0008882406234423447,0.021395374509839207,0.35309886678773716
legacy-pure-noise,3,r5-f3-913c95f41d8e72f9b0aabac4,F3,9.12511157989502,2008.2938232421875,0.0029043727397250084,-0.0887969779943167,0.3645527517453235
legacy-pure-noise,4,r5-f5-9fec14ebb444f5f1fe201087,F5,20.2152099609375,282650.28125,0.408768763644143,0.5413512277984569,0.1216643258350658
legacy-pure-noise,5,r5-f5-56ef217cc7251269d003b5c8,F5,31.041704177856445,4971.99609375,0.007190438785798516,0.04010129688914869,0.4022030253294505
legacy-pure-noise,6,r5-f6-b6302052a821cfd9e9d9261e,F6,14.125012397766113,3465.88330078125,0.005012313092560951,0.12991850794032364,0.45088882484319165
legacy-pure-noise,7,r5-f6-1ccc652bfea4b3e698683232,F6,25.66673469543457,365270.90625,0.528250463647926,0.7700027088013375,0.47717267124569396
source-anchored,0,r5-f2-d1803aae745ed83f142b0bae,F2,18.02083396911621,1.1501280069351196,0.014548150612768797,0.2891646917127913,0.3833905676848609
source-anchored,1,r5-f2-6db739261bbb0fc74169dc1f,F2,10.314865112304688,1.7604478597640991,0.022268286759346,0.08946027581798123,0.24351240871331933
source-anchored,2,r5-f3-dbc9791cf4ba3569afc7a3d0,F3,15.104169845581055,8.405501365661621,0.10632453498988197,0.4443863799635019,0.4826739120108371
source-anchored,3,r5-f3-913c95f41d8e72f9b0aabac4,F3,10.85418701171875,3.080091953277588,0.03896174344201822,0.6936874781049733,0.7538073375835442
source-anchored,4,r5-f5-9fec14ebb444f5f1fe201087,F5,37.50096130371094,29.189241409301758,0.3692304414596205,0.7543960606112171,0.6514039254788239
source-anchored,5,r5-f5-56ef217cc7251269d003b5c8,F5,33.35418701171875,19.813640594482422,0.2506295144435695,-0.14454661864808752,-0.2169158410597247
source-anchored,6,r5-f6-b6302052a821cfd9e9d9261e,F6,16.3437557220459,4.767974853515625,0.06031110363308831,0.14895704646974087,0.2046821586122041
source-anchored,7,r5-f6-1ccc652bfea4b3e698683232,F6,30.666671752929688,10.888011932373047,0.13772622465970683,0.8363318104722093,0.8792472012969554
