arm,gradient_aggregation,hard8_m0_ce,hard8_endpoint_ce,hard8_delta_ce,hard8_relative_change,hard8_ci95_low,hard8_ci95_high,hard8_improved_units,hard8_m0_accuracy,hard8_endpoint_accuracy,hard8_accuracy_delta,hard8_state_did,formal_delta_ce,mechanism_delta_ce,technical_gate,hard8_gate,fixed_dev_gate,clip_rate,minimum_raw_vs_applied_cosine,maximum_norm_match_relative_error
raw-mean-control,raw-mean,21.15451119840145,21.073971152305603,-0.08054004609584808,-0.0038072279402009412,-0.2138580083847046,0.05831131786108017,4,0.0,0.0,0.0,-0.08054004609584808,0.018860382338364956,-0.0009147990494966507,True,False,False,0.0625,0.9999997019767761,0.0
unit-balanced-norm-matched,unit-balanced-norm-matched,21.15451119840145,21.07706819474697,-0.07744300365447998,-0.0036608269001427995,-0.2890591025352478,0.10875162482261658,5,0.0,0.0,0.0,-0.07744300365447998,0.023869403948386603,-0.043532999232411385,True,False,False,0.3203125,-0.5080744624137878,1.2918266834027747e-07
