arm,optimizer_step,learning_rate,loss_mean,loss_F2,loss_F3,loss_F5,loss_F6,gradient_norm_before_clip,gradient_clipped,update_weight_ratio,raw_vs_applied_cosine,raw_vs_unit_balanced_cosine,norm_match_relative_error,micro_gradient_max_min_ratio,negative_pairwise_cosine_fraction,state_gradient_nonzero_fraction
raw-mean-control,1,1e-05,21.024068474769592,13.835819244384766,12.473971843719482,33.26043891906738,24.52604389190674,3.175675868988037,False,0.000362263933587929,1.0000001192092896,0.8967180848121643,0.0,17.227585199020123,0.42857142857142855,1.0
raw-mean-control,2,1.1333333333333334e-05,21.471657395362854,13.704310417175293,13.442710876464844,34.708351135253906,24.031257152557373,6.633223533630371,False,0.0005616979768447969,1.0000001192092896,0.8499823808670044,0.0,16.201435437421463,0.5,1.0
raw-mean-control,3,1.2666666666666667e-05,21.593399047851562,11.602118968963623,13.28647232055664,39.36520576477051,22.11979913711548,3.326453924179077,False,0.0005561674790575203,0.9999998807907104,0.904683530330658,0.0,7.785364081541033,0.39285714285714285,1.0
raw-mean-control,4,1.4000000000000001e-05,22.629596829414368,13.455335140228271,15.000006675720215,39.167205810546875,22.89583969116211,2.3275978565216064,False,0.0006263281788039528,1.0,0.9414187669754028,0.0,8.158654786807396,0.5714285714285714,1.0
raw-mean-control,5,1.5333333333333334e-05,21.660993099212646,13.543868064880371,14.635420799255371,35.324052810668945,23.1406307220459,4.756730079650879,False,0.0006845909009398715,0.9999998807907104,0.5034914612770081,0.0,49.78214018061823,0.5714285714285714,1.0
raw-mean-control,6,1.6666666666666667e-05,21.1295382976532,13.408740997314453,15.33333969116211,33.29169464111328,22.48437786102295,2.4007608890533447,False,0.0007086573735410342,0.9999998807907104,0.7557657361030579,0.0,8.851738026727515,0.4642857142857143,1.0
raw-mean-control,7,1.8e-05,21.832884907722473,12.819921493530273,14.447919368743896,35.261613845825195,24.802084922790527,2.2954912185668945,False,0.0007053514878459469,1.0000001192092896,0.8042917251586914,0.0,8.251130167590711,0.5357142857142857,1.0
raw-mean-control,8,1.9333333333333333e-05,21.576157331466675,13.24112606048584,12.536474227905273,34.99056434631348,25.53646469116211,6.132127285003662,False,0.0008076422949618492,1.0,0.9327255487442017,0.0,12.575718490394648,0.4642857142857143,1.0
raw-mean-control,9,2.0666666666666666e-05,22.180079460144043,13.215080261230469,13.125013828277588,38.2187614440918,24.16146230697632,1.970431923866272,False,0.000765812217434648,1.0000001192092896,0.7033524513244629,0.0,8.971748288980494,0.5714285714285714,1.0
raw-mean-control,10,2.2e-05,20.817035794258118,13.377482414245605,12.557305812835693,34.34376335144043,22.989591598510742,3.3793411254882812,False,0.0009105918154125666,1.0,0.8087045550346375,0.0,11.471219434412049,0.39285714285714285,1.0
raw-mean-control,11,2.3333333333333332e-05,20.86784839630127,13.147570610046387,11.989596843719482,35.19880199432373,23.13542413711548,5.813011169433594,False,0.0007521255699265226,0.9999999403953552,0.6072972416877747,0.0,16.05269423355737,0.5357142857142857,1.0
raw-mean-control,12,2.4666666666666665e-05,22.034563541412354,13.50281047821045,13.619793891906738,36.90626907348633,24.1093807220459,4.024408340454102,False,0.0007768312316167215,1.0000001192092896,0.7952889800071716,0.0,19.639111502086298,0.6428571428571429,1.0
raw-mean-control,13,2.6000000000000002e-05,20.896050930023193,12.188338279724121,13.177085876464844,33.31252670288086,24.90625286102295,3.82480525970459,False,0.0007999655802268857,1.0,0.7882401347160339,0.0,9.148277000319114,0.5714285714285714,1.0
raw-mean-control,14,2.733333333333333e-05,21.434037804603577,12.668410778045654,15.15104866027832,34.31251907348633,23.604172706604004,6.619522571563721,False,0.0009679144043350497,0.9999999403953552,0.8709119558334351,0.0,15.488052478358377,0.5714285714285714,1.0
raw-mean-control,15,2.8666666666666668e-05,21.54377520084381,11.763614177703857,14.473960876464844,34.41668510437012,25.520840644836426,18.972766876220703,True,0.0010751524758411033,1.0,0.6393882632255554,0.0,110.56579095726688,0.35714285714285715,1.0
raw-mean-control,16,2.9999999999999997e-05,22.753117561340332,13.261778831481934,13.197928428649902,39.03192329406738,25.52083969116211,1.7769619226455688,False,0.001111580934896106,1.0,0.9138665795326233,0.0,5.525437927490551,0.5714285714285714,1.0
raw-mean-control,17,2.9999999999999997e-05,21.521325707435608,13.731119155883789,13.692712306976318,34.447927474975586,24.21354389190674,1.634891390800476,False,0.0010698303338616895,0.9999997019767761,0.9645939469337463,0.0,4.737783784156766,0.42857142857142855,1.0
raw-mean-control,18,2.9999872856917585e-05,20.600288569927216,11.307379007339478,14.406252384185791,34.583351135253906,22.104171752929688,2.821608066558838,False,0.0011288770539475798,0.9999999403953552,0.956656277179718,0.0,4.539135104337701,0.5,1.0
raw-mean-control,19,2.999949143090342e-05,20.478047490119934,11.229869842529297,13.541669845581055,34.406267166137695,22.73438310623169,3.425008535385132,False,0.0012479592591779609,1.0000001192092896,0.8704420924186707,0.0,4.903718256838575,0.5,1.0
raw-mean-control,20,2.9998855731656623e-05,21.126649737358093,13.397198677062988,13.151044368743896,33.18752098083496,24.770834922790527,2.949857473373413,False,0.0010570542553436607,1.0,0.7450487613677979,0.0,10.348614146398813,0.5,1.0
raw-mean-control,21,2.999796577534217e-05,21.141236186027527,13.454659938812256,12.531266212463379,35.50088691711426,23.078131675720215,3.4022908210754395,False,0.0011915398423276579,1.0,0.8790884613990784,0.0,7.193719404832075,0.5357142857142857,1.0
raw-mean-control,22,2.99968215845904e-05,20.950289368629456,12.28028154373169,12.619807243347168,33.218772888183594,25.68229579925537,2.5521914958953857,False,0.001094160099531296,1.0,0.5812252759933472,0.0,13.831714510824163,0.5357142857142857,1.0
raw-mean-control,23,2.9995423188496514e-05,20.334908723831177,13.183340072631836,12.453140258789062,33.02086067199707,22.68229389190674,42.59128952026367,True,0.0012821756193180458,0.9999999403953552,0.6518032550811768,0.0,168.63734623260999,0.4642857142857143,1.0
