arm,optimizer_step,mode,raw_mean_norm,unit_mean_norm_before_match,applied_norm_before_clip,norm_match_relative_error,raw_vs_unit_balanced_cosine,raw_vs_applied_cosine,intervention_active,micro_gradient_norm_minimum,micro_gradient_norm_median,micro_gradient_norm_maximum,micro_gradient_norm_max_min_ratio,pairwise_cosine_minimum,pairwise_cosine_median,pairwise_cosine_maximum,negative_pairwise_cosine_fraction
raw-mean-control,1,raw-mean,3.175675630569458,0.43320631980895996,3.175675630569458,0.0,0.8967180848121643,1.0000001192092896,False,1.1501485109329224,6.039806604385376,19.814281463623047,17.227585199020123,-0.7615385055541992,0.1940673142671585,0.7994890809059143,0.42857142857142855
raw-mean-control,2,raw-mean,6.633224010467529,0.3603898584842682,6.633224010467529,0.0,0.8499823808670044,1.0000001192092896,False,1.4128183126449585,5.956387042999268,22.889684677124023,16.201435437421463,-0.6022699475288391,-0.012393811019137502,0.8252840042114258,0.5
raw-mean-control,3,raw-mean,3.326453924179077,0.5213807225227356,3.326453924179077,0.0,0.904683530330658,0.9999998807907104,False,1.6144657135009766,4.257458686828613,12.56920337677002,7.785364081541033,-0.2791185975074768,0.13112003356218338,0.7647203207015991,0.39285714285714285
raw-mean-control,4,raw-mean,2.3275976181030273,0.3204268515110016,2.3275976181030273,0.0,0.9414187669754028,1.0,False,1.144837498664856,5.197433948516846,9.340333938598633,8.158654786807396,-0.7568158507347107,-0.15375464409589767,0.7480624914169312,0.5714285714285714
raw-mean-control,5,raw-mean,4.756730556488037,0.2513609528541565,4.756730556488037,0.0,0.5034914612770081,0.9999998807907104,False,0.7886555194854736,4.198951482772827,39.26095962524414,49.78214018061823,-0.5886397361755371,-0.06708158366382122,0.4359067976474762,0.5714285714285714
raw-mean-control,6,raw-mean,2.400761127471924,0.32409220933914185,2.400761127471924,0.0,0.7557657361030579,0.9999998807907104,False,1.7762631177902222,4.700611591339111,15.723015785217285,8.851738026727515,-0.47566863894462585,0.019935952965170145,0.7151106595993042,0.4642857142857143
raw-mean-control,7,raw-mean,2.2954914569854736,0.27294033765792847,2.2954914569854736,0.0,0.8042917251586914,1.0000001192092896,False,1.4916355609893799,4.857751131057739,12.307679176330566,8.251130167590711,-0.8181409239768982,-0.07617734745144844,0.6476877927780151,0.5357142857142857
raw-mean-control,8,raw-mean,6.132127285003662,0.4291034936904907,6.132127285003662,0.0,0.9327255487442017,1.0,False,1.9275827407836914,5.523125171661377,24.240737915039062,12.575718490394648,-0.630828320980072,0.06478613801300526,0.8404834270477295,0.4642857142857143
raw-mean-control,9,raw-mean,1.9704316854476929,0.28842607140541077,1.9704316854476929,0.0,0.7033524513244629,1.0000001192092896,False,1.5171490907669067,4.813902497291565,13.611479759216309,8.971748288980494,-0.8249777555465698,-0.051002416759729385,0.7197785973548889,0.5714285714285714
raw-mean-control,10,raw-mean,3.3793411254882812,0.4179202914237976,3.3793411254882812,0.0,0.8087045550346375,1.0,False,2.242809534072876,5.140923976898193,25.727760314941406,11.471219434412049,-0.5677945017814636,0.06614144146442413,0.7131223678588867,0.39285714285714285
raw-mean-control,11,raw-mean,5.813011169433594,0.3466323912143707,5.813011169433594,0.0,0.6072972416877747,0.9999999403953552,False,2.676516532897949,13.44072675704956,42.965301513671875,16.05269423355737,-0.8273782134056091,-0.03210994973778725,0.898945152759552,0.5357142857142857
raw-mean-control,12,raw-mean,4.024407863616943,0.2477879524230957,4.024407863616943,0.0,0.7952889800071716,1.0000001192092896,False,1.4022802114486694,6.68742561340332,27.53953742980957,19.639111502086298,-0.6319162845611572,-0.07267965748906136,0.6926673054695129,0.6428571428571429
raw-mean-control,13,raw-mean,3.82480525970459,0.22066660225391388,3.82480525970459,0.0,0.7882401347160339,1.0,False,2.258563280105591,5.861081123352051,20.661962509155273,9.148277000319114,-0.816493034362793,-0.17970973253250122,0.7302029728889465,0.5714285714285714
raw-mean-control,14,raw-mean,6.619522571563721,0.33644533157348633,6.619522571563721,0.0,0.8709119558334351,0.9999999403953552,False,2.3679776191711426,6.644188404083252,36.67536163330078,15.488052478358377,-0.5929200053215027,-0.05543428845703602,0.6967884302139282,0.5714285714285714
raw-mean-control,15,raw-mean,18.972766876220703,0.5349201560020447,18.972766876220703,0.0,0.6393882632255554,1.0,False,1.2243154048919678,5.031225919723511,135.36740112304688,110.56579095726688,-0.5674896836280823,0.14350882917642593,0.8389086723327637,0.35714285714285715
raw-mean-control,16,raw-mean,1.7769619226455688,0.31787437200546265,1.7769619226455688,0.0,0.9138665795326233,1.0,False,1.3356441259384155,3.963788390159607,7.380018711090088,5.525437927490551,-0.5367424488067627,-0.06612417660653591,0.7869985699653625,0.5714285714285714
raw-mean-control,17,raw-mean,1.634891390800476,0.32206636667251587,1.634891390800476,0.0,0.9645939469337463,0.9999997019767761,False,1.6758021116256714,4.495485305786133,7.9395880699157715,4.737783784156766,-0.7344355583190918,0.06855834648013115,0.830576479434967,0.42857142857142855
