arm,target_index,family,segment_id,gate,m0_normal_ce,endpoint_normal_ce,delta_ce,relative_change,improved_choice_views,accuracy_delta,normal_reset_did,clip_rate,wall_clock_seconds
direct-pixel-oracle,0,F1,r5-f1-8015bf53a4067aaa7e882288,True,15.091156959533691,0.0003754922072403133,-15.090781467326451,-0.9999751183949483,4,1.0,-15.090781467326451,,127.89538613613695
direct-pixel-oracle,1,F1,r5-f1-392d41fd097d069c42218e0a,True,27.677093982696533,0.0003191248688381165,-27.676774857827695,-0.9999884697118477,4,1.0,-27.676774857827695,,127.58399552665651
direct-pixel-oracle,2,F1,r5-f1-1aee01c0f3e7684c05c9122c,True,30.203125,0.0012245660182088614,-30.20190043398179,-0.9999594556517509,4,1.0,-30.20190043398179,,130.38755342829973
direct-pixel-oracle,3,F1,r5-f1-807090710dd4c077a97348ba,True,33.994791984558105,0.0005543642328120768,-33.99423762032529,-0.9999836926717168,4,1.0,-33.99423762032529,,134.92375941947103
direct-pixel-oracle,4,F1,r5-f1-02c8aa9dc3523351c4d5f9c7,True,32.18749952316284,0.0010983122047036886,-32.18640121095814,-0.9999658776785717,4,1.0,-32.18640121095814,,101.35287491604686
direct-pixel-oracle,5,F1,r5-f1-11dddf29efebc033a995ab92,True,17.601562023162842,0.0003840746358036995,-17.601177948527038,-0.999978179514108,4,1.0,-17.601177948527038,,118.19463309831917
direct-pixel-oracle,6,F1,r5-f1-de4899e05b0aa7f3d8373171,True,13.164066791534424,0.0004014918813481927,-13.163665299653076,-0.9999695009234072,4,1.0,-13.163665299653076,,126.02878110203892
direct-pixel-oracle,7,F1,r5-f1-850189e424efde62468b2ef9,True,34.625000953674316,0.00043618769268505275,-34.62456476598163,-0.9999874025218579,4,1.0,-34.62456476598163,,127.33054170198739
dreamlite-single-set,0,F1,r5-f1-8015bf53a4067aaa7e882288,False,15.283860683441162,15.309903860092163,0.026043176651000977,0.0017039658493627208,1,0.0,0.026043176651000977,0.0859375,412.06747775990516
dreamlite-single-set,1,F1,r5-f1-392d41fd097d069c42218e0a,False,27.687509059906006,27.291678428649902,-0.3958306312561035,-0.014296361236385224,4,0.0,-0.3958306312561035,0.59375,445.8161274753511
dreamlite-single-set,2,F1,r5-f1-1aee01c0f3e7684c05c9122c,False,30.937499523162842,30.494791507720947,-0.44270801544189453,-0.014309754255040552,4,0.0,-0.44270801544189453,0.2734375,388.41195659991354
dreamlite-single-set,3,F1,r5-f1-807090710dd4c077a97348ba,False,35.291666984558105,35.30208396911621,0.010416984558105469,0.0002951683909593328,2,0.0,0.010416984558105469,0.1484375,441.0616992749274
dreamlite-single-set,4,F1,r5-f1-02c8aa9dc3523351c4d5f9c7,False,33.5,33.22916650772095,-0.27083349227905273,-0.008084581859076234,4,0.0,-0.27083349227905273,0.078125,406.05849956255406
dreamlite-single-set,5,F1,r5-f1-11dddf29efebc033a995ab92,False,17.453124523162842,17.406249523162842,-0.046875,-0.002685765516529104,2,0.0,-0.046875,0.0234375,426.3613678570837
dreamlite-single-set,6,F1,r5-f1-de4899e05b0aa7f3d8373171,False,13.343753814697266,13.304691076278687,-0.0390627384185791,-0.0029274174989315505,2,0.0,-0.0390627384185791,0.03125,396.3043757257983
dreamlite-single-set,7,F1,r5-f1-850189e424efde62468b2ef9,False,35.765625,35.796875953674316,0.031250953674316406,0.0008737706575605575,1,0.0,0.031250953674316406,0.1953125,423.36724695935845
