split,segment_id,target_value,normal_base_pixel_rms,donor_base_pixel_rms,normal_donor_pixel_rms,normal_base_mean_abs
train_audit,r5-f1-ee59008270e04ddeb87f5940,tacos,0.10323753243052532,0.09255137378944152,0.11563568841555702,0.07306751767205055
dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,purple,0.15401212089092045,0.1398820029281606,0.15703332925470745,0.1125622034367546
dev_replay,r5-f1-a3e0a264c6669d943382da4f,purple,0.11067727150959357,0.10257663147972733,0.11844463485206656,0.07928628334489884
dev_final,r5-f1-865bcf071bbf554889ae9c0a,blues,0.10178452814655238,0.08927100258916275,0.07495089870292865,0.07234990829225636
