optimizer_step,epoch_zero,learning_rate,ce_mean,objective_mean,residual_penalty_mean,coefficient_penalty_mean,residual_coefficient_norm_mean,residual_rms_mean,image_saturation_fraction_mean,mean_residual_coefficient_max_abs,mean_residual_delta_max_abs,gradient_norm,gradient_nonzero_fraction,basis_parameter_norm,gradient_clipped,ce_moving_mean_16_optimizer_steps
1,0,0.001,0.761210486292839,0.761210486292839,0.0,3.3989679404378137e-09,0.0382437642052706,0.05097182048484683,0.10896794001261392,3.063016507098837e-08,8.636296655595288e-08,0.2712168527380813,0.9999203685797168,23.79433075845934,False,0.761210486292839
2,0,0.001,1.1089718043804169,1.1089718043804169,0.0,1.01028120313984e-08,0.06509756367225089,0.08420098479837179,0.09514689445495605,2.5456150964942026e-08,8.866243206284707e-08,1.0076213566530166,0.9999203685797168,23.867768319065824,False,0.935091145336628
3,0,0.001,1.1959024220705032,1.1959024220705032,0.0,1.609170729999221e-08,0.08500428246296204,0.1090755108743906,0.10622398058573404,1.6349885001432085e-08,8.18821987991214e-08,3.1018531952075072,0.9999203685797168,23.936853575625655,False,1.022028237581253
4,0,0.001,1.1484304070472717,1.1484304070472717,0.0,2.0679134585255277e-09,0.026941525721518686,0.03171957191079855,0.0998845895131429,2.9543622659389257e-08,5.054136664739417e-08,1.4584484459170428,0.9999089926625334,24.024018011654466,False,1.0536287799477577
5,0,0.001,1.2089763134717941,1.2089763134717941,0.0,4.316864504749773e-09,0.04027060826303367,0.04856234323233366,0.10386363665262857,3.166496753692627e-08,6.751347569888821e-08,1.9701450122748172,0.9997156020704169,24.11338279712751,False,1.084698286652565
6,0,0.001,1.140458419919014,1.140458419919014,0.0,4.620852617209792e-09,0.04338302590219216,0.05777399451471865,0.10637354850769043,3.011276206166258e-08,1.0564053098960358e-07,0.7249987644271362,0.9994994596439338,24.208095460554087,False,1.093991642196973
7,0,0.001,1.1141916066408157,1.1141916066408157,0.0,2.5703067452198525e-09,0.03293184800127606,0.040872582234442234,0.10142532984415689,2.421438694000244e-08,7.28669249383529e-08,0.8118751767056004,0.9992378135487173,24.30618587864887,False,1.0968773514032364
8,0,0.001,1.0112256556749344,1.0112256556749344,0.0,3.777886586897594e-09,0.040787799176726744,0.05233312537893653,0.11274178822835286,2.1730860666480112e-08,7.406649160657253e-08,0.9919308982997475,0.9990671747909675,24.400599898400312,False,1.0861708894371986
9,0,0.001,1.083229124546051,1.083229124546051,0.0,1.4057351532814621e-08,0.07236620345576011,0.09310556063428521,0.11902856826782225,3.311369312086754e-08,1.4203116904809576e-07,1.475034694642991,0.998942039701951,24.49074302012253,False,1.0858440266715155
10,0,0.001,1.180971473455429,1.180971473455429,0.0,3.2345003342371115e-09,0.0370969017183853,0.036569716641679406,0.09345157941182454,2.7422276005495405e-08,8.341540080891718e-08,1.3276935399279948,0.9987031454411012,24.580637499947436,False,1.0953567713499068
11,0,0.001,0.9448049813508987,0.9448049813508987,0.0,9.534990019766099e-09,0.05832657785834783,0.07139911409467459,0.1187457243601481,1.603944532746482e-08,6.715254130540416e-08,2.1472189124422143,0.9982139810022183,24.67023893644041,False,1.0816702449863607
12,0,0.001,1.4093759953975677,1.4093759953975677,0.0,1.3707605717172555e-08,0.07754785493130872,0.09335778187960386,0.11976202328999837,1.7902090476695776e-08,3.834493966792252e-08,2.1721483767387357,0.9977248165633354,24.755115584712808,False,1.108979057520628
13,0,0.001,1.2489650249481201,1.2489650249481201,0.0,1.816984229741081e-09,0.029032976543626934,0.03258433286100626,0.10411985715230306,2.4317866831324864e-08,1.2365293855509663e-07,1.3775091107156276,0.9975428018884023,24.843024304708074,False,1.1197472088612044
