step,split,segment_id,residual_coefficient_norm,residual_rms,image_saturation_fraction,basis_norm_min,basis_norm_max,train_mean_residual_coefficient_max_abs,train_mean_residual_delta_max_abs,fixed_base_latent_sha256
0,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.028381179651055324,0.03737249597907066,0.0915838877360026,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.03775798906214754,0.05026579275727272,0.11920579274495442,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.005734496975821321,0.007125974167138338,0.10552628835042317,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.026564949582000265,0.03517064079642296,0.09218311309814453,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.0370774467078103,0.048855919390916824,0.08800315856933594,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.03733534826461885,0.04880540817975998,0.08803685506184895,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.07081950828560304,0.09383910894393921,0.07452042897542317,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.09129010035888778,0.1217130720615387,0.06660270690917969,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_final,r5-f1-865bcf071bbf554889ae9c0a,0.09957096133873704,0.1322636753320694,0.06357224782307942,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_final,r5-f1-8b58542b9c45c637d2329648,0.08236766635604931,0.10941613465547562,0.07005850474039713,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_final,r5-f1-4eff79979ba1325eadc579a9,0.03519950756399135,0.04624834656715393,0.1178445816040039,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
0,dev_final,r5-f1-d1c1440c7881fd865314100d,0.10614353344592671,0.14075247943401337,0.06120745340983073,2.472966702521437,4.524099190464777,3.063016507098837e-08,8.636296655595288e-08,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.15767297901590033,0.14743736386299133,0.10363165537516275,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.10746469874359824,0.08504445850849152,0.10941632588704427,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.17969416707362454,0.17228643596172333,0.10668436686197916,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.059031690965010354,0.04471958428621292,0.10741043090820312,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.22162773569795535,0.20400606095790863,0.10447311401367188,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.19495129344436382,0.18527331948280334,0.10753568013509114,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_select,r5-f1-8bbbdbfcc40737c52a64335f,0.17413136146903438,0.16515719890594482,0.10496902465820312,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_select,r5-f1-faf86750587c2c0a7b934b3a,0.2744400826483783,0.26077279448509216,0.10898590087890625,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_final,r5-f1-865bcf071bbf554889ae9c0a,0.14916470335379828,0.1321047842502594,0.10057926177978516,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_final,r5-f1-8b58542b9c45c637d2329648,0.1460406845641489,0.1267683058977127,0.09955755869547525,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_final,r5-f1-4eff79979ba1325eadc579a9,0.108426340218041,0.10078232735395432,0.10367838541666666,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
288,dev_final,r5-f1-d1c1440c7881fd865314100d,0.16706376227690006,0.15288083255290985,0.10113366444905598,5.346820741604123,7.338561518734986,1.0016891849318199e-07,2.829327172548801e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
576,train_audit,r5-f1-ee59008270e04ddeb87f5940,0.20987297589061665,0.18682487308979034,0.10190486907958984,6.805824255895312,9.330974374121984,1.95370787992033e-07,5.747290856561449e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
576,train_audit,r5-f1-74bd80f2dff32f9fd1ee2f05,0.148944935588449,0.12334562093019485,0.11275768280029297,6.805824255895312,9.330974374121984,1.95370787992033e-07,5.747290856561449e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
576,train_audit,r5-f1-ecf4946e7096b0f851fa9165,0.29922810573838415,0.2667810916900635,0.12410163879394531,6.805824255895312,9.330974374121984,1.95370787992033e-07,5.747290856561449e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
576,train_audit,r5-f1-c4577184ceeecd7502540cd3,0.12989145318711126,0.10566128045320511,0.1054220199584961,6.805824255895312,9.330974374121984,1.95370787992033e-07,5.747290856561449e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
576,dev_select,r5-f1-e1fb95a44d70110ed3edaaa4,0.2810466741257257,0.26223528385162354,0.10190486907958984,6.805824255895312,9.330974374121984,1.95370787992033e-07,5.747290856561449e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
576,dev_select,r5-f1-b7cedb01e540ac07603e9798,0.2526125897731815,0.2246813327074051,0.11090278625488281,6.805824255895312,9.330974374121984,1.95370787992033e-07,5.747290856561449e-07,51fcc191ac3914ebdbfe07a914d95a51c20458de9a4352de999d7cb8c3595fb5
