optimizer_step,mse,rmse,l2_distance,mse_ratio_to_m0,l2_distance_ratio_to_m0,teacher_normalized_rmse,gradient_norm,gradient_nonzero_fraction,x_T_update_norm,elapsed_seconds
1,0.12413695454597473,0.3523307459560899,90.19667096475901,1.0,1.0,0.5381839141556165,0.000719520277290161,0.99957275390625,12.45207028497319,1.3261467423290014
2,0.12099334597587585,0.3478409779998266,89.04729036795561,0.9746762873183373,0.9872569510103929,0.531325810172113,0.00036362874682433746,0.999755859375,10.64893354481588,2.2696463875472546
3,0.11937089264392853,0.34550093001890536,88.44823808483977,0.9616064215569179,0.9806153280246632,0.5277513955173071,0.0003453499682434827,0.9993743896484375,9.058866657943732,3.2161066913977265
4,0.11819888651371002,0.34380064937941873,88.0129662411312,0.952165186797252,0.975789519720955,0.5251542231154527,0.0003197609974400225,0.999542236328125,8.230872729941783,4.154121951200068
5,0.11705176532268524,0.3421282878142134,87.58484168043863,0.9429244156246361,0.971042952512728,0.5225996969965264,0.00027030965710626224,0.9996185302734375,7.872213665086737,5.2514426270499825
6,0.11606641113758087,0.34068520827529464,87.21541331847543,0.93498677780592,0.9669471432327209,0.5203953983265773,0.00022850809091413195,0.999359130859375,7.523223694769743,6.188699217513204
7,0.11537396162748337,0.33966742797548805,86.95486156172494,0.9294086684296259,0.964058436211014,0.5188407426747863,0.0002053459557322916,0.9994659423828125,7.0759202020729735,7.130899757146835
8,0.11487437039613724,0.3389312177951999,86.76639175557118,0.9253841518529677,0.9619688933915523,0.5177161843414126,0.0002041538998916975,0.99951171875,6.550085941203042,8.071087277494371
9,0.11448535323143005,0.33835684303916486,86.6193518180262,0.9222503778198444,0.9603386787065511,0.5168388290213247,0.0002180203521461415,0.9994964599609375,6.206610035769836,9.173999681137502
10,0.11401048302650452,0.3376543839882795,86.43952230099956,0.9184250044113993,0.9583449297676694,0.5157658254135538,0.000212503053454402,0.999664306640625,6.082972951712567,10.112486091442406
11,0.1135198324918747,0.336927043277732,86.25332307909939,0.9144725106803878,0.9562805606517303,0.5146548151624757,0.0001969949006107985,0.999664306640625,6.0502647451558405,11.048298044130206
12,0.11297231167554855,0.33611353985751385,86.04506620352355,0.9100618916320257,0.9539716408950665,0.5134121916903631,0.00023425253925270142,0.9994659423828125,6.044931973090626,11.985766670666635
13,0.11245144158601761,0.33533780220252174,85.84647736384557,0.9058659606827285,0.9517699095278902,0.512227255285257,0.00014203504115422642,0.9994964599609375,6.005484071422026,13.062333004549146
14,0.11202028393745422,0.334694314169593,85.68174442741581,0.9023927189704575,0.9499435346221676,0.5112443296897796,0.00014527214198997276,0.9996185302734375,5.90626506689404,13.999085773713887
15,0.11166335642337799,0.33416067456147197,85.54513268773682,0.8995174469341675,0.9484289361539785,0.5104291971577954,0.0001905532227452272,0.999603271484375,5.780067289950878,14.937070520594716
16,0.11133027076721191,0.3336619108726855,85.41744918340748,0.896834235819602,0.9470133239926468,0.5096673374638837,0.00014622427534397557,0.99951171875,5.662598962090254,15.875338022597134
17,0.11101363599300385,0.3331870885748784,85.29589467516887,0.8942835467410263,0.9456656632980952,0.5089420481563363,0.000161168447773756,0.9995574951171875,5.601201761076362,16.96709657739848
18,0.11066114902496338,0.3326577054946471,85.16037260662966,0.8914440460514075,0.9441631458870906,0.5081334174549949,0.00013772063087335567,0.999664306640625,5.548132446074538,17.904517042450607
19,0.11036118865013123,0.3322065451644974,85.04487556211133,0.8890276795799628,0.9428826435882478,0.5074442717157184,0.00012678867577660117,0.99969482421875,5.436409156117586,18.840781394392252
20,0.11005613952875137,0.3317471017639059,84.92725805155992,0.8865703201055375,0.9415786319291327,0.5067424736169113,0.00012845384622701543,0.99981689453125,5.355091679526587,19.78036927431822
21,0.1097792237997055,0.3313294792192592,84.82034668013036,0.8843395925187469,0.9403933179892054,0.506104556721218,0.0001375531682440199,0.9996337890625,5.313726787463666,20.87852594908327
22,0.10949036478996277,0.3308932830837803,84.70868046944776,0.8820126544139801,0.9391552876995263,0.5054382687340753,0.00013167330410209744,0.99969482421875,5.322705376569117,21.816243979148567
23,0.1091533750295639,0.3303836785156977,84.57822170001862,0.8792979933234822,0.9377089064968308,0.5046598496370475,0.00012049758495212083,0.9997406005859375,5.3177782460594605,22.758454786613584
24,0.1088639423251152,0.32994536263617225,84.4660128348601,0.8769664337527864,0.9364648598600944,0.5039903237486966,0.00011487982565479477,0.999481201171875,5.265797018923372,23.697244111448526
25,0.108602374792099,0.32954874418225144,84.36447851065637,0.874859345384356,0.935339160617343,0.5033844905240706,0.00011220029255701863,0.99951171875,5.216496408483683,24.78996106237173
26,0.10835301131010056,0.32917018593745784,84.2675675999892,0.8728505682002331,0.9342647206227115,0.5028062442022344,0.00011780876865783963,0.999359130859375,5.183284226002911,25.730546983890235
27,0.10808609426021576,0.32876449665408786,84.16371114344649,0.8707003861624908,0.9331132761688103,0.5021865553191012,0.00011363687512151621,0.999664306640625,5.176743075804084,26.667051167227328
28,0.10780813544988632,0.3283414921234999,84.05542198361597,0.8684612559103748,0.9319126868491355,0.5015404174597451,0.00011129471490468728,0.9997711181640625,5.175814930645635,27.60536842327565
29,0.1075524240732193,0.3279518624329176,83.9556767828269,0.8664013425058429,0.9308068234095852,0.5009452595453263,0.00010809908909321705,0.9998321533203125,5.179104226292276,28.68052534107119
30,0.10727559030056,0.32752952584547246,83.84755861644095,0.8641712751284708,0.9296081298743416,0.500300141966656,0.00010576684818888153,0.999725341796875,5.181883938316756,29.617169251665473
31,0.10702651739120483,0.32714907518011543,83.75016324610955,0.8621648386868315,0.9285283187317613,0.4997190049793932,0.0001142846867605891,0.9992218017578125,5.165619088591845,30.55624487902969
32,0.1067730188369751,0.32676140965079564,83.65092087060368,0.8601227509365971,0.9274280300576412,0.4991268473140541,0.00011180144215515173,0.99951171875,5.169477920696061,31.492663141340017
33,0.10652253031730652,0.3263778949581398,83.55274110928379,0.8581049108777304,0.9263395224634057,0.4985410300364003,0.00010346564901404852,0.9997711181640625,5.182711455676642,32.588300599716604
34,0.10625094175338745,0.325961564840684,83.4461605992151,0.8559170969031377,0.9251578767449032,0.4979050873184715,0.00010208531080196356,0.9997711181640625,5.203385514087599,33.528501683846116
35,0.10601562261581421,0.32560040327956324,83.35370323956819,0.8540214556057182,0.9241328127524302,0.49735341436674235,0.00010108890411133833,0.9998016357421875,5.224697707489732,34.4662394085899
36,0.1057550460100174,0.325200009240494,83.25120236556647,0.8519223497693469,0.92299639748449,0.49674181394973616,9.905949097209518e-05,0.99957275390625,5.25472283001487,35.404525669291615
37,0.10547654330730438,0.32477152477904275,83.14151034343494,0.849678838127454,0.9217802547936541,0.49608730551621033,0.00010633832993969683,0.9993438720703125,5.280406354621564,36.47917003091425
38,0.10519866645336151,0.32434343904781165,83.03192039623978,0.8474403680847565,0.9205652437957651,0.4954334061416243,0.00011291732157219784,0.9993438720703125,5.304190149374214,37.41696104686707
39,0.10493815690279007,0.3239415948944965,82.9290482929911,0.8453418024197276,0.9194247127523425,0.49481959068045905,0.00010223790715446204,0.9998016357421875,5.330754346012713,38.358598705381155
40,0.10467294603586197,0.3235319861093521,82.82418844399413,0.843205364741696,0.918262143803008,0.4941939147728305,0.00010972222911423039,0.9997406005859375,5.355922877340789,39.2962578618899
41,0.10438209772109985,0.3230821841592319,82.70903914476337,0.8408624015537729,0.9169854969157215,0.49350684395403605,0.0001065658035048766,0.99981689453125,5.3873792145993615,40.47447799704969
42,0.10416024923324585,0.3227386701857183,82.62109956754388,0.8390752746771276,0.9160105210515475,0.4929821276272476,0.00010489155716464078,0.9996337890625,5.402335004785884,41.414132380858064
43,0.10386812686920166,0.3222857844665223,82.5051608234297,0.8367220482336998,0.9147251216806608,0.49229034636257063,0.00012118544145385478,0.9990997314453125,5.40195776470473,42.35042442008853
44,0.10364913195371628,0.32194585251827096,82.41813824467737,0.8349579086486233,0.9137603124718338,0.4917711015661507,0.00011167718671316105,0.9997100830078125,5.410820369131394,43.2912923572585
45,0.10334359109401703,0.32147098017397624,82.29657092453792,0.8324965879176874,0.9124125097332277,0.4910457358127781,0.00010517261127115574,0.9998321533203125,5.422640233800184,44.41233787033707
46,0.10312774777412415,0.3211350927166387,82.21058373545951,0.8307578363857016,0.911459179769287,0.4905326689613026,0.00011410846245893517,0.9997100830078125,5.4358880316397045,45.35291860345751
47,0.10285341739654541,0.320707682160165,82.10116663300224,0.8285479354051105,0.910246085080903,0.48987980091366673,0.00012357430208206866,0.9994659423828125,5.4282227472450675,46.29342570062727
48,0.10257536172866821,0.3202738854928204,81.99011468616202,0.8263080249055,0.9090148650629978,0.48921717810524373,0.0001329471216210836,0.9992218017578125,5.427902592091202,47.23095642961562
49,0.10235985368490219,0.31993726523320504,81.90393989970049,0.8245719742302259,0.9080594552286902,0.48870299190099337,0.00011690511491385677,0.9994354248046875,5.4181927596476545,48.32726422697306
50,0.10211499035358429,0.3195543621257333,81.80591670418772,0.8225994485450785,0.906972683461348,0.48811810881745127,0.0001221343482574189,0.99957275390625,5.4133071661874705,49.26555442530662
51,0.10185371339321136,0.31914528571359374,81.70119314268,0.8204947009191316,0.9058116255155547,0.4874932461076228,0.0001402945594631417,0.9990997314453125,5.369291819052132,50.212077119387686
52,0.10159926116466522,0.3187463900417779,81.59907585069514,0.8184449307320282,0.9046794629768203,0.48688393444106637,0.00011390927960572263,0.9997100830078125,5.33985874550605,51.15112656541169
53,0.1013447716832161,0.3183469360355398,81.4968156250982,0.8163948604497346,0.9035457157497536,0.4862737699207405,0.0001273824093292003,0.999664306640625,5.307336378212772,52.24380188714713
54,0.10116143524646759,0.31805885500401904,81.42306688102887,0.8149179719807123,0.9027280720021463,0.4858337272082684,0.00012721107005943597,0.9997100830078125,5.2597125641479465,53.18551513552666
55,0.10093088448047638,0.31769621414249866,81.33023082047966,0.8130607428676376,0.901698809396817,0.48527979463063825,0.0001245939572264318,0.9994049072265625,5.2120705102860185,54.126101879402995
56,0.10069803893566132,0.31732954311828787,81.2363630382817,0.811185027890847,0.9006581082135701,0.48471970599437203,0.00012973120198197632,0.9996337890625,5.162045534193579,55.06378560233861
57,0.10047515481710434,0.3169781614198435,81.14640932347993,0.8093895583679143,0.8996608018402904,0.484182971746788,0.00014736491685275909,0.9994049072265625,5.113303844299753,56.15989478491247
58,0.10026706755161285,0.31664975533168005,81.06233736491009,0.8077132866545268,0.8987287058142333,0.48368133265911567,0.000134485781372719,0.999237060546875,5.040293317304907,57.09878351725638
59,0.1000375896692276,0.31628719491820656,80.96952189906088,0.8058647002829298,0.8976996715399475,0.48312752296558026,0.00011408713709299247,0.999420166015625,4.978159303485477,58.07580793648958
60,0.09988287091255188,0.31604251440676756,80.9068836881325,0.8046183449390146,0.8970052089809817,0.4827537743873615,0.00014569275310581835,0.9997406005859375,4.920478549639487,59.01587354391813
61,0.0997256189584732,0.3157936334989564,80.84317017573284,0.8033515831221664,0.8962988246796747,0.482373609719186,0.00013789711140747087,0.99932861328125,4.843752703546701,60.09223124012351
62,0.09955929219722748,0.31553017636547454,80.77572514956148,0.8020117181169867,0.8955510695192019,0.4819711799200928,0.0001418161486393547,0.999237060546875,4.75990646909797,61.03187303710729
63,0.09940838813781738,0.31529095790684736,80.71448522415292,0.8007960925205475,0.8948721095891566,0.48160577460738613,0.00013362112693566307,0.999664306640625,4.69149238487857,61.97170559968799
64,0.09922795742750168,0.3150046942943893,80.64120173936367,0.7993426114763603,0.8940596241170721,0.4811685079958251,0.00018093035758243753,0.999176025390625,4.63568994434384,62.91178180463612
65,0.09902186691761017,0.31467740134558464,80.55741474446967,0.7976824248651673,0.8931306874501441,0.48066856922441514,0.00014999922879177039,0.9994964599609375,4.515071891768911,64.48674796707928
66,0.0988965630531311,0.31447823939524194,80.50642928518194,0.7966730246834296,0.8925654175932594,0.4803643500802827,0.0001358041480142923,0.9995880126953125,4.431247668452468,65.42754980735481
67,0.09878142178058624,0.31429511892580553,80.45955044500622,0.795745490469577,0.892045677344819,0.48008463423903286,0.0001442545296909958,0.9990234375,4.358566090539406,66.41217879485339
68,0.09861747920513153,0.31403420069338234,80.39275537750588,0.7944248315565697,0.8913051282005336,0.4796860826019368,0.0001483947216164339,0.9994049072265625,4.279913967834567,67.35017839446664
69,0.09849084913730621,0.31383251765441106,80.34112451952923,0.7934047479860612,0.8907327028834527,0.4793780125042284,0.0001410859155482225,0.9997100830078125,4.200921770531693,68.44227363727987
70,0.09834594279527664,0.3136015669528401,80.28200113992706,0.7922374377152432,0.8900772088505824,0.4790252361599126,0.00015830259934278802,0.999359130859375,4.116237390855646,69.38203627802432
