optimizer_step,mse,rmse,l2_distance,mse_ratio_to_m0,l2_distance_ratio_to_m0,teacher_normalized_rmse,gradient_norm,gradient_nonzero_fraction,x_T_update_norm,elapsed_seconds
1,0.22256910800933838,0.47177230525894415,120.7737101462897,1.0,1.0,0.720630455186332,0.004425793620979692,0.99951171875,12.721198105628087,1.3372041890397668
2,0.2121436595916748,0.46059055525669956,117.91118214571509,0.9531586008907124,0.9762984179495081,0.7035503733246498,0.0049893065664611295,0.9996185302734375,9.931012372332079,2.280244749970734
3,0.20300829410552979,0.4505644172652006,115.34449081989135,0.9121135269905117,0.9550463480850088,0.6882354845445439,0.004507001539125996,0.99969482421875,8.851948985783576,3.2226494420319796
4,0.19483482837677002,0.44140098366085456,112.99865181717877,0.8753902557249558,0.9356229238988085,0.6742383735319651,0.00413813115723524,0.99969482421875,8.253136337416075,4.163855606690049
5,0.18747538328170776,0.43298427602132133,110.84397466145826,0.8423243681860908,0.917782309802325,0.6613818836748127,0.003980095409695741,0.999786376953125,7.834036448838654,5.278616945259273
6,0.18054720759391785,0.4249084696660186,108.77656823450076,0.8111961682766082,0.9006642927731776,0.6490461192712107,0.004278156061414998,0.99981689453125,7.512826695618907,6.217461843974888
7,0.17439483106136322,0.4176060716289494,106.90715433701105,0.7835536235066642,0.8851856435272006,0.6378917332194127,0.0031363024339025685,0.9997711181640625,7.274819521610898,7.157918005250394
8,0.1692080795764923,0.4113490969681255,105.30536882384013,0.7602496190504247,0.8719229432985605,0.6283342275166479,0.0032099794801664482,0.9997406005859375,7.036066906821449,8.098982489667833
9,0.16413173079490662,0.40513174498538945,103.7137267162597,0.737441652450798,0.8587442299374116,0.618837245308433,0.003243272572264085,0.99969482421875,6.844440623118826,9.19987912196666
10,0.15956267714500427,0.3994529723822371,102.2599609298527,0.7169129560348037,0.8467071253005987,0.610162941114881,0.002717673219093639,0.9996795654296875,6.63895850828068,10.140102850273252
11,0.1558966040611267,0.39483744004479454,101.0783846514674,0.7004413391214459,0.836923735546702,0.6031127325032651,0.0026131732892627,0.999725341796875,6.442843653844232,11.078213435597718
12,0.15236827731132507,0.39034379373998646,99.92801119743653,0.6845886146289993,0.827398703545636,0.5962487043566727,0.002809127602486494,0.999725341796875,6.262001010061759,12.154098290018737
13,0.14858484268188477,0.3854670448713933,98.67956348707669,0.667589693874545,0.8170616218343296,0.5887994884577555,0.002322341036045943,0.9997100830078125,6.078013131881159,13.09506163932383
14,0.14530110359191895,0.38118381863861817,97.58305757148625,0.6528358984384415,0.8079826102326965,0.5822568761946286,0.0021225057880284574,0.99969482421875,5.902782250231236,14.037174600176513
15,0.14270073175430298,0.37775750390204427,96.70592099892333,0.6411524628490476,0.8007199653118733,0.5770231930794791,0.002252652264588,0.999725341796875,5.681785966109921,14.976275256834924
