target_index,family,segment_id,gate,m0_normal_ce,endpoint_normal_ce,delta_ce,relative_change,improved_choice_views,accuracy_delta,normal_reset_did,clip_rate,min_raw_applied_cosine,max_scale_relative_error,wall_clock_seconds
0,F2,r5-f2-d1803aae745ed83f142b0bae,False,17.460937976837158,17.442708492279053,-0.01822948455810547,-0.0010440151945037002,3,0.0,-0.01822948455810547,0.0078125,0.9999999999999997,0.0,1080.6671271594241
1,F2,r5-f2-6db739261bbb0fc74169dc1f,False,9.165152430534363,9.162948727607727,-0.002203702926635742,-0.00024044367437836556,3,0.0,-0.002203702926635742,0.0,0.9999999999999996,0.0,1215.0311963316053
2,F3,r5-f3-dbc9791cf4ba3569afc7a3d0,False,14.190114259719849,14.604173183441162,0.4140589237213135,0.029179393212968252,0,0.0,0.4140589237213135,0.015625,0.9999999999999996,0.0,1118.0588416047394
3,F3,r5-f3-913c95f41d8e72f9b0aabac4,False,12.627622365951538,12.507830142974854,-0.11979222297668457,-0.009486522443028278,3,0.0,-0.11979222297668457,0.0,0.9999999999999996,0.0,1247.3973537441343
4,F5,r5-f5-9fec14ebb444f5f1fe201087,False,33.17751741409302,32.97957801818848,-0.19793939590454102,-0.005966070138221369,3,0.0,-0.19793939590454102,0.015625,0.9999999999999996,0.0,1333.7537425458431
5,F5,r5-f5-56ef217cc7251269d003b5c8,False,36.229318618774414,36.3907470703125,0.16142845153808594,0.004455740756174054,2,0.0,0.16142845153808594,0.0078125,0.9999999999999997,0.0,1505.38663103804
6,F6,r5-f6-b6302052a821cfd9e9d9261e,False,14.333342552185059,14.223967552185059,-0.109375,-0.007630809045537368,2,0.0,-0.109375,0.0,0.9999999999999996,0.0,1338.2893019514158
7,F6,r5-f6-1ccc652bfea4b3e698683232,False,32.05208396911621,31.33854341506958,-0.7135405540466309,-0.02226190829695074,4,0.0,-0.7135405540466309,0.0078125,0.9999999999999996,0.0,1485.4510987065732
