optimizer_step,mse,rmse,l2_distance,mse_ratio_to_m0,l2_distance_ratio_to_m0,teacher_normalized_rmse,gradient_norm,gradient_nonzero_fraction,x_T_update_norm,elapsed_seconds
1,0.22121742367744446,0.47033756354074513,120.40641626643075,1.0,1.0,0.7184388925067612,0.004470278998314268,0.9996337890625,12.71858796865258,1.164330380037427
2,0.21084418892860413,0.4591777313073927,117.54949921469253,0.9531084189644778,0.9762727175151817,0.7013922899561732,0.005043726877785854,0.9996490478515625,9.949851143808994,2.110841413959861
3,0.20244406163692474,0.44993784197033787,115.1840875444065,0.9151361509937255,0.956627488102723,0.6872783930940451,0.004843168996391854,0.9996337890625,8.895197485708406,3.0517260748893023
4,0.19343984127044678,0.43981796378780025,112.59339872967686,0.8744331167715795,0.9351112857684798,0.67182031651808,0.003988725232069908,0.9996337890625,8.267433154799704,4.181085979565978
5,0.18663519620895386,0.43201295838082665,110.59531734549162,0.8436731298393806,0.9185168097750745,0.659898199563648,0.0037740412343925606,0.999725341796875,7.8225947780482645,5.119251411408186
6,0.17963717877864838,0.4238362641146323,108.50208361334587,0.8120390147955798,0.9011320740022407,0.6474083292484906,0.003472510139467603,0.9996337890625,7.490314343309876,6.06089511141181
7,0.17416323721408844,0.4173286920570984,106.83614516661719,0.7872943926335324,0.8872961132753442,0.637468036947092,0.00353083012880652,0.999755859375,7.209657803455073,7.006633346900344
8,0.16954857110977173,0.4117627607127334,105.41126674245974,0.7664340732807253,0.8754622055124511,0.628966097359892,0.0035040721646864455,0.9996337890625,6.9530748749649405,8.103973915800452
9,0.16471511125564575,0.40585109492971155,103.89788030200616,0.7445847099992253,0.862893220508323,0.619936049693592,0.0032819782790960714,0.9996795654296875,6.730084058488539,9.079318020492792
10,0.16046179831027985,0.40057683196894933,102.54766898405103,0.7253578657721286,0.8516794383875477,0.61187963248593,0.002900165159444444,0.9996337890625,6.5189864807117335,10.020584095269442
11,0.15653172135353088,0.3956408994954021,101.28407027082294,0.7075921903049042,0.8411849917259009,0.6043400138488653,0.002827057594606647,0.999664306640625,6.3205182096311905,10.958309289067984
12,0.15321975946426392,0.3914329565382352,100.2068368737882,0.6926206666599307,0.8322383472659324,0.5979123965113937,0.002611381892605108,0.9996490478515625,6.142408337253906,12.062757031992078
13,0.14936769008636475,0.38648116394769455,98.9391779706098,0.6752076197404627,0.8217101798934116,0.590348551604154,0.002231409094420315,0.9996795654296875,5.95878348156452,13.006314471364021
14,0.14635694026947021,0.3825662560517723,97.93696154925371,0.6615977070724421,0.8133865668133707,0.5843685442412747,0.0022144074273609308,0.999603271484375,5.7350381066006575,13.951631160452962
15,0.14363905787467957,0.3789974378207319,97.02334408210737,0.6493116838939352,0.8057987862326024,0.5789171875642433,0.0017623406654726434,0.9996337890625,5.526873776494946,14.89990864507854
16,0.14122159779071808,0.37579462182250306,96.20342318656078,0.6383837016230344,0.7989891749097946,0.5740248979470838,0.0015474677644710902,0.999664306640625,5.3559798540849615,16.149198772385716
17,0.1394682228565216,0.3734544454903725,95.60433804553536,0.6304576761542944,0.794013649853889,0.5704502872362792,0.002188329106533944,0.9997100830078125,5.18976879373789,17.088697405532002
18,0.13769957423210144,0.3710789326169049,94.99620674992765,0.6224626068915811,0.7889629946274926,0.5668217000889936,0.001644996929217651,0.9996337890625,5.04409849158005,18.02603391930461
19,0.13618053495883942,0.3690264691845822,94.47077611125304,0.6155958816218893,0.7845991853308855,0.5636865697708284,0.0018104130422677974,0.9995269775390625,4.90266459028125,18.96676912344992
20,0.1350647509098053,0.36751156568168747,94.08296081451199,0.6105520472326911,0.7813782996940029,0.5613725602609755,0.001704552135581429,0.9996490478515625,4.709910690142424,20.078121716156602
21,0.13388106226921082,0.3658976117293072,93.66978860270264,0.6052012542394574,0.7779468196730785,0.5589072515550836,0.0012018706118976461,0.9997711181640625,4.555717710176976,21.021199956536293
22,0.1331004500389099,0.36482934371964915,93.39631199223018,0.6016725438091293,0.7756755402931881,0.5572754761128216,0.0018974681350452142,0.999664306640625,4.416140403765276,21.958938451483846
23,0.13217337429523468,0.36355656271787296,93.07048005577548,0.5974817539144464,0.7729694391853059,0.5553313078298634,0.0013032835926178887,0.999755859375,4.285265224208765,22.89725999161601
24,0.1315777599811554,0.3627364883509176,92.8605410178349,0.5947893153886828,0.7712258523861105,0.5540786472608601,0.0015836299980464105,0.99951171875,4.090696191594599,24.011728590354323
25,0.13083791732788086,0.36171524342759026,92.5991023174631,0.5914449013684143,0.7690545503203361,0.5525186994094274,0.001265352772050784,0.9998016357421875,3.9702500002958785,24.952936194837093
26,0.13028056919574738,0.3609439973122526,92.40166331193666,0.5889254428064786,0.7674147788559188,0.5513406238145673,0.0013097655384369897,0.9995880126953125,3.869186924431348,25.894444612786174
27,0.1296614408493042,0.36008532440145935,92.1818430467736,0.5861267105178958,0.7655891264365605,0.5500290041123013,0.0017640692852746087,0.999725341796875,3.7708179542975517,26.837145894765854
28,0.12902647256851196,0.3592025508936594,91.9558530287768,0.5832563747629778,0.7637122329536026,0.5486805708370518,0.001445377101573454,0.999664306640625,3.68181224256496,27.924239736050367
29,0.1284792423248291,0.3584400121705571,91.76064311566262,0.5807826535045619,0.7620909745591808,0.5475157957516962,0.0012164179961538194,0.9997100830078125,3.6155102951908624,28.86877720616758
30,0.12782171368598938,0.3575216268786958,91.52553648094613,0.5778103350139603,0.7601383657032188,0.5461129656077199,0.0024076906506183657,0.9996795654296875,3.5933159208102783,29.82087605446577
31,0.12710891664028168,0.35652337460576367,91.2699838990755,0.5745881790288738,0.7580159490596974,0.5445881389449105,0.0019895319798912004,0.9994049072265625,3.5182643802230573,30.761228123679757
32,0.1265326738357544,0.355714314915431,91.06286461835033,0.5719833082418082,0.7562957809229193,0.5433523032537981,0.0016524710997813973,0.999481201171875,3.43505553807934,31.85236577503383
33,0.12600024044513702,0.35496512567453303,90.87107217268046,0.5695764752637978,0.7547029052970432,0.5422079194532428,0.0019389481547124243,0.9995880126953125,3.3401607878769397,32.79767572693527
34,0.125611811876297,0.35441756711017725,90.73089718020537,0.5678206073833075,0.7535387232142138,0.5413715257669786,0.0017462743992012642,0.9995574951171875,3.27827335776357,33.73445794545114
35,0.12499267607927322,0.35354303285353145,90.50701641050405,0.5650218414148253,0.751679347471264,0.5400356779174598,0.0015515209098780243,0.999603271484375,3.1967318338638133,34.67396677471697
36,0.12452681362628937,0.3528835695045738,90.33819379317089,0.56291593833884,0.7502772409841844,0.5390283500857058,0.0016170802960866703,0.9993438720703125,3.111820363637354,35.78273404017091
37,0.12411859631538391,0.3523046924402,90.1900012646912,0.5610706166452799,0.7490464716192714,0.5381441175062465,0.001725592050153023,0.9994659423828125,3.034975523633852,36.729188548401
38,0.12366022169589996,0.35165355350955857,90.023309698447,0.5589985618682913,0.7476620639488748,0.5371495051927488,0.0010018705708587695,0.9995269775390625,2.955506061327711,37.68057986535132
39,0.12329808622598648,0.35113827223187516,89.89139769136004,0.5573615503531337,0.7465665076556366,0.5363624149427559,0.0013776922675666724,0.9995880126953125,2.879218036700465,38.62222176976502
40,0.12291932851076126,0.35059852896263166,89.7532234144337,0.5556493989821935,0.7454189419260779,0.535537959090933,0.001059057995585651,0.99969482421875,2.8149316842285845,39.72057378292084
41,0.12254758179187775,0.3500679673890168,89.6173996515883,0.5539689403966819,0.7442908976983944,0.5347275282452976,0.0016351297077206051,0.999542236328125,2.7704184589312812,40.66698501072824
42,0.12223716080188751,0.3496243138025265,89.50382433344679,0.552565701063948,0.7433476313703757,0.5340498490292569,0.001299649070159735,0.99951171875,2.7012609223578092,41.61660718731582
43,0.12188075482845306,0.34911424323343365,89.37324626775901,0.5509545893915052,0.7422631537342436,0.5332707181174058,0.0018453961531160136,0.999359130859375,2.6728364470030086,42.56027768366039
44,0.12161525338888168,0.34873378584370296,89.27584917598796,0.549754406172852,0.7414542508967441,0.5326895708586871,0.002204543225857798,0.9992828369140625,2.6409091620198555,43.6927245631814
45,0.12123948335647583,0.34819460558210236,89.1378190290182,0.5480557604416109,0.7403078821960569,0.5318659749989609,0.0017547876747959156,0.9994049072265625,2.6111152072448602,44.639246659353375
46,0.12092231959104538,0.3477388669548536,89.02114994044253,0.5466220407998302,0.7393389214695992,0.5311698359277621,0.0012566852257107017,0.9995880126953125,2.567566368709221,45.586899142712355
47,0.120780810713768,0.3475353373597684,88.9690463641007,0.5459823584686423,0.7389061905740419,0.5308589452224045,0.001568502677932208,0.9994964599609375,2.508035149047958,46.52839112281799
48,0.12044890224933624,0.3470574912739044,88.84671776611953,0.5444819863057528,0.7378902264603813,0.5301290370897596,0.0016604593805988471,0.99932861328125,2.450575335496732,47.65794684551656
49,0.1202252060174942,0.3467350660338441,88.76417690466408,0.5434707810031895,0.7372047076648314,0.5296365337254921,0.0023270344346846467,0.999420166015625,2.4138488341687334,48.60221065022051
50,0.11999431997537613,0.34640196300739423,88.67890252989292,0.5424270745976094,0.7364964864801524,0.5291277200819215,0.001501590673297296,0.9995880126953125,2.3474649591465995,49.54130522720516
51,0.11983206123113632,0.34616767791221686,88.61892554552752,0.5416935937463163,0.7359983653149755,0.5287698504636776,0.001561056416763358,0.9997406005859375,2.311135960791202,50.48153056576848
52,0.119701087474823,0.3459784494369888,88.57048305586913,0.5411015347930201,0.7355960404957467,0.5284808046661229,0.0017935878650984852,0.999298095703125,2.2898139698913678,51.58294547908008
53,0.11939293146133423,0.3455328225528426,88.45640257352771,0.5397085341497341,0.734648578675365,0.5278001112451954,0.001111408669127922,0.9995269775390625,2.226694669764507,52.52505135536194
